Bar_name,Modules,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground
BED-DOG,4_9,-110.6943414,-20.90173802,-35.81172137,-95.19832241,-6.208093017,-12.62538737,BED_DOG,BED-DOG-4_BED-DOG-9,"['ICE', 'SAY', 'CHI', 'DAY', 'AGE', 'BAR', 'CUP', 'PAW']",BED-4_DOG-4_BED-9_DOG-9,"['BED-ICE-4', 'BED-SAY-4', 'BED-DAY-4', 'BED-CHI-9', 'BAR-DOG-4', 'CUP-DOG-4', 'DOG-PAW-4', 'AGE-DOG-9', 'BAR-DOG-9']","['BED-ICE', 'BED-SAY', 'BED-CHI', 'BED-DAY', 'AGE-DOG', 'BAR-DOG', 'CUP-DOG', 'DOG-PAW']","['ICE-4', 'SAY-4', 'DAY-4', 'CHI-9', 'BAR-4', 'CUP-4', 'PAW-4', 'AGE-9', 'BAR-9']",0
HIT-SUN,2_7,96.86061759,36.32947298,-2.583674372,105.0021466,66.47715898,4.395899628,HIT_SUN,HIT-SUN-2_HIT-SUN-7,"['ACE', 'BRO', 'DIG', 'DUI', 'EYE', 'SKY']",HIT-2_SUN-2_HIT-7_SUN-7,"['DIG-HIT-2', 'DUI-HIT-2', 'ACE-HIT-7', 'BRO-HIT-7', 'DUI-SUN-2', 'SKY-SUN-2', 'ACE-SUN-7', 'EYE-SUN-7']","['ACE-HIT', 'BRO-HIT', 'DIG-HIT', 'DUI-HIT', 'ACE-SUN', 'DUI-SUN', 'EYE-SUN', 'SKY-SUN']","['DIG-2', 'DUI-2', 'ACE-7', 'BRO-7', 'DUI-2', 'SKY-2', 'ACE-7', 'EYE-7']",0
HEX-SIP,3,-57.82588741,138.550331,-73.40293337,-28.66803741,143.011165,-69.18081237,HEX_SIP,HEX-SIP-3,"['MAY', 'WAX', 'MIX', 'GUT', 'RUM']",HEX-3_SIP-3,"['HEX-MAY-3', 'HEX-WAX-3', 'HEX-MIX-3', 'GUT-SIP-3', 'MAY-SIP-3', 'RUM-SIP-3', 'SIP-WAX-3']","['HEX-MAY', 'HEX-WAX', 'HEX-MIX', 'GUT-SIP', 'MAY-SIP', 'RUM-SIP', 'SIP-WAX']","['MAY-3', 'WAX-3', 'MIX-3', 'GUT-3', 'MAY-3', 'RUM-3', 'WAX-3']",0
JOY-SPY,1,57.90937859,108.367809,-41.34419237,84.05906559,124.876711,-32.10448937,JOY_SPY,JOY-SPY-1,"['BIO', 'DIG', 'GUN', 'LEG', 'NIX', 'RAD', 'RAW']",JOY-1_SPY-1,"['BIO-JOY-1', 'GUN-JOY-1', 'DIG-JOY-2', 'LEG-SPY-1', 'NIX-SPY-1', 'RAD-SPY-1', 'RAW-SPY-1']","['BIO-JOY', 'DIG-JOY', 'GUN-JOY', 'LEG-SPY', 'NIX-SPY', 'RAD-SPY', 'RAW-SPY']","['BIO-1', 'GUN-1', 'DIG-2', 'LEG-1', 'NIX-1', 'RAD-1', 'RAW-1']",0
HOT-PIG,13,4.710215594,-117.48782,33.97493563,5.820940594,-98.76846102,58.92129363,HOT_PIG,HOT-PIG-13,"['PRO', 'ZAP', 'JAM', 'OLD', 'ALL', 'GOO', 'LIE']",HOT-13_PIG-13,"['HOT-PRO-13', 'HOT-ZAP-13', 'HOT-JAM-13', 'HOT-OLD-13', 'ALL-PIG-10', 'GOO-PIG-10', 'GOO-PIG-13', 'JAM-PIG-13', 'LIE-PIG-13']","['HOT-PRO', 'HOT-ZAP', 'HOT-JAM', 'HOT-OLD', 'ALL-PIG', 'GOO-PIG', 'JAM-PIG', 'LIE-PIG']","['PRO-13', 'ZAP-13', 'JAM-13', 'OLD-13', 'ALL-10', 'GOO-10', 'GOO-13', 'JAM-13', 'LIE-13']",0
EYE-GAS,7,97.34155959,-13.78822502,8.027349628,98.01878059,14.98342398,16.20123563,EYE_GAS,EYE-GAS-7,"['SUN', 'POP', 'IVY', 'ODD', 'TUX']",EYE-7_GAS-11,"['EYE-SUN-7', 'EYE-POP-7', 'GAS-ODD-11', 'GAS-IVY-11', 'GAS-TUX-11']","['EYE-SUN', 'EYE-POP', 'GAS-IVY', 'GAS-ODD', 'GAS-TUX']","['SUN-7', 'POP-7', 'ODD-11', 'IVY-7', 'TUX-8']",0
NOM-WET,1_7,54.51494159,71.53245898,-8.540843372,76.18738459,89.93827798,30.98683663,NOM_WET,NOM-WET-1_NOM-WET-7,"['ARM', 'BIO', 'BRO', 'DUB', 'ELF', 'TOY']",NOM-1_WET-1_NOM-7_WET-7,"['ARM-NOM-1', 'BIO-NOM-1', 'DUB-WET-1', 'ELF-WET-1', 'BRO-WET-7', 'TOY-WET-7']","['ARM-NOM', 'BIO-NOM', 'BRO-WET', 'DUB-WET', 'ELF-WET', 'TOY-WET']","['ARM-1', 'BIO-1', 'DUB-1', 'ELF-1', 'BRO-7', 'TOY-7']",0
FAX-GIG,11,47.13816959,-53.90876502,50.88486063,52.93065359,-23.18064902,53.84225463,FAX_GIG,FAX-GIG-11,"['AIR', 'COW', 'EVE', 'LIE', 'FIX', 'IRE', 'YES']",FAX-11_GIG-11,"['AIR-FAX-11', 'COW-FAX-11', 'FAX-LIE-11', 'EVE-FAX-14', 'AIR-GIG-11', 'FIX-GIG-11', 'GIG-IRE-14', 'GIG-YES-14']","['AIR-FAX', 'COW-FAX', 'EVE-FAX', 'FAX-LIE', 'AIR-GIG', 'FIX-GIG', 'GIG-IRE', 'GIG-YES']","['AIR-11', 'COW-11', 'LIE-11', 'EVE-14', 'AIR-11', 'FIX-11', 'IRE-14', 'YES-7']",0
AGO-OIL,3,-77.59085641,99.85877998,-32.02837637,-57.16906441,104.268151,-4.853784372,AGO_OIL,AGO-OIL-3,"['ALA', 'MIX', 'MOM', 'GUT', 'RUM']",AGO-3_OIL-3,"['AGO-ALA-3', 'AGO-MIX-3', 'AGO-MOM-3', 'ALA-OIL-3', 'GUT-OIL-3', 'OIL-RUM-3', 'OIL-RUM-5']","['AGO-ALA', 'AGO-MIX', 'AGO-MOM', 'ALA-OIL', 'GUT-OIL', 'OIL-RUM']","['ALA-3', 'MIX-3', 'MOM-3', 'ALA-3', 'GUT-3', 'RUM-3', 'RUM-5']",0
COW-EAR,11,47.71669559,-101.306211,24.42671963,60.75696259,-56.31003402,27.76317763,COW_EAR,COW-EAR-11,"['AIR', 'ODD', 'FIX', 'FAX', 'GEL', 'JAM', 'ZOO', 'PHI']",COW-11_EAR-11,"['AIR-COW-11', 'COW-ODD-11', 'COW-FIX-11', 'COW-FAX-11', 'EAR-JAM-11', 'EAR-ZOO-11', 'EAR-PHI-11', 'EAR-GEL-10']","['AIR-COW', 'COW-ODD', 'COW-FIX', 'COW-FAX', 'EAR-GEL', 'EAR-JAM', 'EAR-ZOO', 'EAR-PHI']","['AIR-11', 'ODD-11', 'FIX-11', 'FAX-11', 'JAM-11', 'ZOO-11', 'PHI-11', 'GEL-10']",0
