Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground
LID,-75.29686741,66.12933398,-99.65481637,LID-3,AIM_BOX_EGO_GYM_HUG_WAX,AIM-LID_BOX-LID_EGO-LID_GYM-LID_HUG-LID_LID-WAX,AIM-LID-3_EGO-LID-3_GYM-LID-3_LID-WAX-3_BOX-LID-4_HUG-LID-4,AIM-3_EGO-3_GYM-3_WAX-3_BOX-4_HUG-4,1
LIE,25.37320059,-71.04085602,52.34109163,LIE-13_LIE-11_LIE-14,FAX_TAU_PIG_ZOO,FAX-LIE_LIE-TAU_LIE-PIG_LIE-ZOO,FAX-LIE-11_LIE-ZOO-11_LIE-TAU-13_LIE-PIG-13_LIE-TAU-14,FAX-11_ZOO-11_TAU-13_PIG-13_TAU-14,0
SIP,-28.66803741,143.011165,-69.18081237,SIP-3,GUT_HEX_MAY_RUM_WAX,GUT-SIP_HEX-SIP_MAY-SIP_RUM-SIP_SIP-WAX,GUT-SIP-3_HEX-SIP-3_MAY-SIP-3_RUM-SIP-3_SIP-WAX-3,GUT-3_HEX-3_MAY-3_RUM-3_WAX-3,1
BOY,108.4197686,11.93373498,-68.75523137,BOY-2,BAH_FOX_TAG_ORC,BAH-BOY_BOY-FOX_BOY-TAG_BOY-ORC,BAH-BOY-2_BOY-FOX-2_BOY-TAG-2_BOY-ORC-2,BAH-2_FOX-2_TAG-2_ORC-2,0
PAY,104.2987506,-39.62004702,-34.32920937,PAY-8,JAR_TUX_WHY_WIN,JAR-PAY_PAY-TUX_PAY-WHY_PAY-WIN,JAR-PAY-8_PAY-TUX-8_PAY-WHY-8_PAY-WIN-8,JAR-8_TUX-8_WHY-8_WIN-8,0
AGE,-90.54446141,-39.40249202,-41.39540837,AGE-9,CHI_DOG_BAR_CUP,AGE-CHI_AGE-DOG_AGE-BAR_AGE-CUP,AGE-CHI-9_AGE-DOG-9_AGE-BAR-9_AGE-CUP-9,CHI-9_DOG-9_BAR-9_CUP-4,0
OAK,18.45301759,-148.691116,-31.06690737,OAK-10,CAB_DAD_FOR_GET_ROB,CAB-OAK_DAD-OAK_FOR-OAK_GET-OAK_OAK-ROB,CAB-OAK-10_DAD-OAK-10_FOR-OAK-10_GET-OAK-10_OAK-ROB-10,CAB-10_DAD-10_FOR-10_GET-10_ROB-10,1
EON,62.85992059,51.31187898,48.11208163,EON-7,AHI_BRO_POP_NIL_TOY,AHI-EON_BRO-EON_EON-POP_EON-NIL_EON-TOY,AHI-EON-7_BRO-EON-7_EON-POP-7_EON-NIL-7_EON-TOY-7,AHI-7_BRO-7_POP-7_NIL-7_TOY-7,0
MIX,-82.31358541,116.370628,-59.92703137,MIX-3,AGO_ALA_HEX,AGO-MIX_ALA-MIX_HEX-MIX,AGO-MIX-3_ALA-MIX-3_HEX-MIX-3,AGO-3_ALA-3_HEX-3,0
EGO,-99.14678941,74.90171698,-80.80211637,EGO-3,AIM_BOX_GYM_LID_OAR,AIM-EGO_BOX-EGO_EGO-GYM_EGO-LID_EGO-OAR,AIM-EGO-3_EGO-GYM-3_EGO-LID-3_EGO-OAR-3_BOX-EGO-4,AIM-3_GYM-3_LID-3_OAR-3_BOX-4,0
OAR,-102.5536564,87.41918798,-42.43610337,OAR-3,EGO_GYM_MOM_ZIG,EGO-OAR_GYM-OAR_MOM-OAR_OAR-ZIG,EGO-OAR-3_GYM-OAR-3_MOM-OAR-3_OAR-ZIG-3,EGO-3_GYM-3_MOM-3_ZIG-4,0
BOA,-4.902155406,113.990935,32.01739663,BOA-5,REF_SHY_NAY_HOW,BOA-REF_BOA-SHY_BOA-NAY_BOA-HOW,BOA-REF-5_BOA-SHY-5_BOA-NAY-5_BOA-HOW-5,REF-5_SHY-5_NAY-5_HOW-5,0
NAY,-14.06673741,88.98864298,50.76425863,NAY-5,BOA_FUN_JOB,BOA-NAY_FUN-NAY_JOB-NAY,BOA-NAY-5_FUN-NAY-5_JOB-NAY-5,BOA-5_FUN-5_JOB-5,0
