Node_with_Module,Node,Module,X,Y,Z,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground
PIE-1,PIE,1,18.90968059,136.201273,-30.11467737,NIX_OVA_RAD_RUM,NIX-PIE_OVA-PIE_PIE-RAD_PIE-RUM,NIX-PIE-1_OVA-PIE-1_PIE-RAD-1_PIE-RUM-1,NIX-1_OVA-1_RAD-1_RUM-5,1
PIG-13,PIG,13,5.820940594,-117.48782,33.97493563,ALL_GOO_HOT_JAM_LIE,ALL-PIG_GOO-PIG_HOT-PIG_JAM-PIG_LIE-PIG,ALL-PIG-10_GOO-PIG-10_GOO-PIG-13_HOT-PIG-13_JAM-PIG-13_LIE-PIG-13,ALL-10_GOO-10_GOO-13_HOT-13_JAM-13_LIE-13,0
VOW-6,VOW,6,-65.23407541,67.63065498,28.89226863,FLY_GIN_REF_WIZ,FLY-VOW_GIN-VOW_REF-VOW_VOW-WIZ,FLY-VOW-5_REF-VOW-5_GIN-VOW-6_VOW-WIZ-6,FLY-5_REF-5_GIN-6_WIZ-4,0
SEX-8,SEX,8,61.78807259,-114.597803,-21.04072737,CAB_GEL_ROB_TAR,CAB-SEX_GEL-SEX_ROB-SEX_SEX-TAR,CAB-SEX-10_GEL-SEX-10_ROB-SEX-10_SEX-TAR-8,CAB-10_GEL-10_ROB-10_TAR-8,0
VOW-5,VOW,6,-62.43054341,69.62542098,26.85238563,FLY_GIN_REF_WIZ,FLY-VOW_GIN-VOW_REF-VOW_VOW-WIZ,FLY-VOW-5_REF-VOW-5_GIN-VOW-6_VOW-WIZ-6,FLY-5_REF-5_GIN-6_WIZ-4,0
COY-12,COY,9,-80.29390641,-50.00527902,1.984625628,ART_CHI_ELK_MAD,ART-COY_CHI-COY_COY-ELK_COY-MAD,ART-COY-12_COY-MAD-12_CHI-COY-9_COY-ELK-9,ART-12_MAD-12_CHI-9_ELK-9,0
AHI-7,AHI,7,39.02183059,34.45504998,64.71688063,NIL_ERA_IRE_EON,AHI-NIL_AHI-ERA_AHI-IRE_AHI-EON,AHI-NIL-7_AHI-ERA-7_AHI-IRE-7_AHI-EON-7,NIL-7_ERA-7_IRE-7_EON-7,0
TRY-6,TRY,6,-39.11595341,-19.65037802,71.77933563,DUH_FOG_LAM_SOY_TAU,DUH-TRY_FOG-TRY_LAM-TRY_SOY-TRY_TAU-TRY,DUH-TRY-6_FOG-TRY-6_SOY-TRY-6_TAU-TRY-6_LAM-TRY-12,DUH-6_FOG-6_SOY-6_TAU-6_LAM-12,0
DUB-5,DUB,5,40.70018759,99.97916498,31.93446463,ARM_TOY_WAR_WET_ELF,ARM-DUB_DUB-TOY_DUB-WAR_DUB-WET_DUB-ELF,ARM-DUB-1_DUB-WAR-1_DUB-WET-1_DUB-ELF-1_DUB-TOY-5_DUB-WAR-5,ARM-1_WAR-1_WET-1_ELF-1_TOY-5_WAR-5,0
EGG-10,EGG,10,4.830568594,-149.573482,21.92542263,ALL_DAD_RUG_FOR_MOO,ALL-EGG_DAD-EGG_EGG-RUG_EGG-FOR_EGG-MOO,ALL-EGG-10_DAD-EGG-10_EGG-RUG-10_EGG-FOR-10_EGG-MOO-10,ALL-10_DAD-10_RUG-10_FOR-10_MOO-10,0
DUB-1,DUB,5,43.10971859,102.496384,29.54441263,ARM_TOY_WAR_WET_ELF,ARM-DUB_DUB-TOY_DUB-WAR_DUB-WET_DUB-ELF,ARM-DUB-1_DUB-WAR-1_DUB-WET-1_DUB-ELF-1_DUB-TOY-5_DUB-WAR-5,ARM-1_WAR-1_WET-1_ELF-1_TOY-5_WAR-5,0
BAR-4,BAR,9,-107.2781254,-27.39621002,-61.13785137,AGE_SIR_DOG_ONO,AGE-BAR_BAR-SIR_BAR-DOG_BAR-ONO,BAR-DOG-4_AGE-BAR-9_BAR-SIR-9_BAR-DOG-9_BAR-ONO-9,DOG-4_AGE-9_SIR-9_DOG-9_ONO-9,0
FIX-11,FIX,7,74.09911959,-9.163696017,23.39753763,COW_ODD_POP_GIG,COW-FIX_FIX-ODD_FIX-POP_FIX-GIG,COW-FIX-11_FIX-ODD-11_FIX-GIG-11_FIX-POP-7,COW-11_ODD-11_GIG-11_POP-7,0
VAN-4,VAN,4,-112.5420554,21.71477298,-72.36783537,BOX_FLU_HUG,BOX-VAN_FLU-VAN_HUG-VAN,BOX-VAN-4_FLU-VAN-4_HUG-VAN-4,BOX-4_FLU-4_HUG-4,0
FLY-3,FLY,5,-84.06863141,96.82086198,-1.491527372,ALA_DRY_VOW_TAX_WIZ,ALA-FLY_DRY-FLY_FLY-VOW_FLY-TAX_FLY-WIZ,ALA-FLY-3_FLY-TAX-3_DRY-FLY-5_FLY-VOW-5_FLY-WIZ-5,ALA-3_TAX-3_DRY-5_VOW-5_WIZ-4,0
FLY-5,FLY,5,-82.18924841,94.36766498,1.048107628,ALA_DRY_VOW_TAX_WIZ,ALA-FLY_DRY-FLY_FLY-VOW_FLY-TAX_FLY-WIZ,ALA-FLY-3_FLY-TAX-3_DRY-FLY-5_FLY-VOW-5_FLY-WIZ-5,ALA-3_TAX-3_DRY-5_VOW-5_WIZ-4,0
