Bar_name,Modules,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
ERA-JUG,6,-5.433488406,17.70930698,61.21293163,11.63524159,37.92189098,71.05300363,ERA_JUG,ERA-JUG-6,"['PLY', 'RIB', 'MOP', 'AHI']",ERA-6_JUG-6,"['ERA-PLY-6', 'JUG-RIB-6', 'JUG-MOP-6', 'AHI-JUG-7']","['ERA-PLY', 'JUG-RIB', 'JUG-MOP', 'AHI-JUG']","['PLY-6', 'RIB-6', 'MOP-6', 'AHI-7']",0,in_to_out,mid
BED-DOG,4_9,-110.6943414,-20.90173802,-35.81172137,-95.19832241,-6.208093017,-12.62538737,BED_DOG,BED-DOG-4_BED-DOG-9,"['PAW', 'LAX', 'BAR', 'CUP']",BED-4_DOG-4_BED-9_DOG-9,"['BED-LAX-12', 'BED-PAW-4', 'BAR-DOG-4', 'CUP-DOG-4', 'DOG-PAW-4', 'BAR-DOG-9']","['BED-PAW', 'BED-LAX', 'BAR-DOG', 'CUP-DOG', 'DOG-PAW']","['LAX-12', 'PAW-4', 'BAR-4', 'CUP-4', 'PAW-4', 'BAR-9']",0,in_to_out,right
BOX-VAN,4,-112.5420554,21.71477298,-89.24967437,-102.3783024,45.64410998,-72.36783537,BOX_VAN,BOX-VAN-4,"['HUG', 'GYM', 'LID', 'FLU']",BOX-4_VAN-4,"['BOX-HUG-4', 'BOX-GYM-4', 'BOX-LID-4', 'FLU-VAN-4', 'GYM-VAN-4']","['BOX-HUG', 'BOX-GYM', 'BOX-LID', 'FLU-VAN', 'GYM-VAN']","['HUG-4', 'GYM-4', 'LID-3', 'FLU-4', 'GYM-4']",0,outer,right
HIT-SUN,2_7,96.86061759,36.32947298,-2.583674372,105.0021466,66.47715898,4.395899628,HIT_SUN,HIT-SUN-2_HIT-SUN-7,"['DIG', 'DUI', 'BRO', 'SKY', 'EYE']",HIT-2_SUN-2_HIT-7_SUN-7,"['DIG-HIT-2', 'DUI-HIT-2', 'BRO-HIT-7', 'SKY-SUN-2', 'EYE-SUN-7']","['DIG-HIT', 'DUI-HIT', 'BRO-HIT', 'SKY-SUN', 'EYE-SUN']","['DIG-2', 'DUI-2', 'BRO-7', 'SKY-2', 'EYE-7']",0,outer,left
GIN-VOW,6,-90.01991741,31.45906698,17.70368663,-65.23407541,67.63065498,28.89226863,GIN_VOW,GIN-VOW-6,"['DAY', 'NAN', 'HAM', 'DRY', 'WIZ']",GIN-6_VOW-6,"['DAY-GIN-4', 'GIN-NAN-6', 'GIN-HAM-6', 'DRY-VOW-5', 'NAN-VOW-6', 'VOW-WIZ-6']","['DAY-GIN', 'GIN-NAN', 'GIN-HAM', 'DRY-VOW', 'NAN-VOW', 'VOW-WIZ']","['DAY-4', 'NAN-6', 'HAM-6', 'DRY-5', 'NAN-6', 'WIZ-4']",0,inner,right
HEX-SIP,3,-57.82588741,138.550331,-73.40293337,-28.66803741,143.011165,-69.18081237,HEX_SIP,HEX-SIP-3,"['MAY', 'WAX', 'MIX', 'RUM']",HEX-3_SIP-3,"['HEX-MAY-3', 'HEX-WAX-3', 'HEX-MIX-3', 'MAY-SIP-3', 'RUM-SIP-3', 'SIP-WAX-3']","['HEX-MAY', 'HEX-WAX', 'HEX-MIX', 'MAY-SIP', 'RUM-SIP', 'SIP-WAX']","['MAY-3', 'WAX-3', 'MIX-3', 'MAY-3', 'RUM-3', 'WAX-3']",0,in_to_out,right
FOX-SKY,2,112.3883416,14.11545098,-39.83334437,113.4612856,35.23947098,-28.36083737,FOX_SKY,FOX-SKY-2,"['BOY', 'ETA', 'DUI', 'SUN', 'TAG']",FOX-2_SKY-2,"['BOY-FOX-2', 'ETA-FOX-2', 'DUI-SKY-2', 'SKY-SUN-2', 'SKY-TAG-2']","['BOY-FOX', 'ETA-FOX', 'DUI-SKY', 'SKY-SUN', 'SKY-TAG']","['BOY-2', 'ETA-2', 'DUI-2', 'SUN-2', 'TAG-2']",0,outer,left
HOT-PIG,13,4.710215594,-117.48782,33.97493563,5.820940594,-98.76846102,58.92129363,HOT_PIG,HOT-PIG-13,"['PRO', 'ZAP', 'JAM', 'ALL', 'MOO']",HOT-13_PIG-13,"['HOT-PRO-13', 'HOT-ZAP-13', 'HOT-JAM-13', 'ALL-PIG-10', 'MOO-PIG-10', 'PIG-PRO-13']","['HOT-PRO', 'HOT-ZAP', 'HOT-JAM', 'ALL-PIG', 'MOO-PIG', 'PIG-PRO']","['PRO-13', 'ZAP-13', 'JAM-13', 'ALL-10', 'MOO-10', 'PRO-13']",0,in_to_out,mid
AIR-GIG,11,47.13816959,-32.43153802,43.73215663,71.13112059,-23.18064902,50.88486063,AIR_GIG,AIR-GIG-11,"['COW', 'ODD', 'EVE', 'LAW', 'YES']",AIR-11_GIG-11,"['AIR-COW-11', 'AIR-ODD-11', 'EVE-GIG-14', 'GIG-LAW-14', 'GIG-YES-14']","['AIR-COW', 'AIR-ODD', 'EVE-GIG', 'GIG-LAW', 'GIG-YES']","['COW-11', 'ODD-11', 'EVE-14', 'LAW-14', 'YES-7']",0,in_to_out,left
FAN-FUN,6,-53.57925541,51.12708598,46.46754063,-41.77578841,81.21320698,53.57610463,FAN_FUN,FAN-FUN-6,"['MOP', 'PLY', 'ZZZ', 'NAY']",FAN-6_FUN-5,"['FAN-MOP-6', 'FAN-PLY-6', 'FAN-ZZZ-6', 'FUN-NAY-5', 'FUN-PLY-5']","['FAN-MOP', 'FAN-PLY', 'FAN-ZZZ', 'FUN-NAY', 'FUN-PLY']","['MOP-6', 'PLY-6', 'ZZZ-6', 'NAY-5', 'PLY-5']",0,outer,right
