Bar_name,Modules,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer
HIT-SUN,2_7,96.86061759,36.32947298,-2.583674372,105.0021466,66.47715898,4.395899628,HIT_SUN,HIT-SUN-2_HIT-SUN-7,"['DIG', 'DUI', 'NOM', 'BRO', 'SKY', 'ACE', 'EYE']",HIT-2_SUN-2_HIT-7_SUN-7,"['DIG-HIT-2', 'DUI-HIT-2', 'HIT-NOM-2', 'HIT-NOM-7', 'BRO-HIT-7', 'SKY-SUN-2', 'ACE-SUN-7', 'EYE-SUN-7']","['DIG-HIT', 'DUI-HIT', 'HIT-NOM', 'BRO-HIT', 'SKY-SUN', 'ACE-SUN', 'EYE-SUN']","['DIG-2', 'DUI-2', 'NOM-2', 'NOM-7', 'BRO-7', 'SKY-2', 'ACE-7', 'EYE-7']",0,outer
COW-KEG,11,60.75696259,-61.85164402,10.55548263,83.77172959,-56.31003402,27.76317763,COW_KEG,COW-KEG-11,"['AIR', 'ZOO', 'WHY', 'ODD', 'WAS']",COW-11_KEG-11,"['AIR-COW-11', 'COW-ZOO-11', 'KEG-ODD-11', 'KEG-WAS-11', 'KEG-WHY-8']","['AIR-COW', 'COW-ZOO', 'KEG-WHY', 'KEG-ODD', 'KEG-WAS']","['AIR-11', 'ZOO-11', 'ODD-11', 'WAS-11', 'WHY-8']",0,in_to_out
HEX-SIP,3,-57.82588741,138.550331,-73.40293337,-28.66803741,143.011165,-69.18081237,HEX_SIP,HEX-SIP-3,"['MAY', 'WAX', 'MIX', 'GUT', 'RUM']",HEX-3_SIP-3,"['HEX-MAY-3', 'HEX-WAX-3', 'HEX-MIX-3', 'GUT-SIP-3', 'MAY-SIP-3', 'RUM-SIP-3', 'SIP-WAX-3']","['HEX-MAY', 'HEX-WAX', 'HEX-MIX', 'GUT-SIP', 'MAY-SIP', 'RUM-SIP', 'SIP-WAX']","['MAY-3', 'WAX-3', 'MIX-3', 'GUT-3', 'MAY-3', 'RUM-3', 'WAX-3']",0,in_to_out
EAR-WAS,11,47.71669559,-101.306211,19.97496263,71.74941359,-81.86690602,24.42671963,EAR_WAS,EAR-WAS-11,"['GEL', 'JAM', 'KEG', 'PHI', 'TAR', 'ZOO']",EAR-11_WAS-11,"['EAR-JAM-11', 'EAR-GEL-10', 'KEG-WAS-11', 'PHI-WAS-11', 'TAR-WAS-11', 'WAS-ZOO-11']","['EAR-GEL', 'EAR-JAM', 'KEG-WAS', 'PHI-WAS', 'TAR-WAS', 'WAS-ZOO']","['JAM-11', 'GEL-10', 'KEG-11', 'PHI-11', 'TAR-11', 'ZOO-11']",0,in_to_out
LAB-YAK,13_12,-47.02312041,-95.14453702,49.32608163,-37.12603241,-68.52870402,62.35637563,LAB_YAK,LAB-YAK-13_LAB-YAK-12,"['LAM', 'ZAP', 'OLD', 'BUG', 'FIG', 'GOO', 'PRO']",LAB-13_YAK-13_LAB-12_YAK-12,"['LAB-ZAP-13', 'LAB-OLD-13', 'LAB-LAM-12', 'GOO-YAK-13', 'PRO-YAK-13', 'BUG-YAK-12', 'FIG-YAK-12', 'GOO-YAK-12']","['LAB-LAM', 'LAB-ZAP', 'LAB-OLD', 'BUG-YAK', 'FIG-YAK', 'GOO-YAK', 'PRO-YAK']","['ZAP-13', 'OLD-13', 'LAM-12', 'GOO-13', 'PRO-13', 'BUG-12', 'FIG-12', 'GOO-12']",0,outer
JOY-SPY,1,57.90937859,108.367809,-41.34419237,84.05906559,124.876711,-32.10448937,JOY_SPY,JOY-SPY-1,"['BIO', 'GUN', 'NOM', 'RAW', 'DIG', 'LEG', 'NIX', 'RAD']",JOY-1_SPY-1,"['BIO-JOY-1', 'GUN-JOY-1', 'JOY-NOM-1', 'JOY-RAW-1', 'DIG-JOY-2', 'LEG-SPY-1', 'NIX-SPY-1', 'RAD-SPY-1']","['BIO-JOY', 'GUN-JOY', 'JOY-NOM', 'JOY-RAW', 'DIG-JOY', 'LEG-SPY', 'NIX-SPY', 'RAD-SPY']","['BIO-1', 'GUN-1', 'NOM-1', 'RAW-1', 'DIG-2', 'LEG-1', 'NIX-1', 'RAD-1']",0,in_to_out
INK-OIL,3,-57.16906441,104.268151,-22.66342337,-53.10752641,133.549724,-4.853784372,INK_OIL,INK-OIL-3,"['ALA', 'GUT', 'MAY', 'RUM', 'SHY', 'DRY']",INK-3_OIL-3,"['ALA-INK-3', 'GUT-INK-3', 'INK-MAY-3', 'INK-RUM-3', 'INK-SHY-3', 'ALA-OIL-3', 'OIL-RUM-3', 'OIL-RUM-5', 'DRY-OIL-5']","['ALA-INK', 'GUT-INK', 'INK-MAY', 'INK-RUM', 'INK-SHY', 'ALA-OIL', 'OIL-RUM', 'DRY-OIL']","['ALA-3', 'GUT-3', 'MAY-3', 'RUM-3', 'SHY-5', 'ALA-3', 'RUM-3', 'RUM-5', 'DRY-5']",0,in_to_out
AIR-COW,11,60.75696259,-56.31003402,27.76317763,71.13112059,-32.43153802,43.73215663,AIR_COW,AIR-COW-11,"['GIG', 'ODD', 'MAC', 'FAX', 'FIX', 'KEG', 'ZOO']",AIR-11_COW-11,"['AIR-GIG-11', 'AIR-ODD-11', 'AIR-MAC-11', 'AIR-FAX-11', 'AIR-FIX-11', 'COW-KEG-11', 'COW-ZOO-11']","['AIR-GIG', 'AIR-ODD', 'AIR-MAC', 'AIR-FAX', 'AIR-FIX', 'COW-KEG', 'COW-ZOO']","['GIG-11', 'ODD-11', 'MAC-11', 'FAX-11', 'FIX-11', 'KEG-11', 'ZOO-11']",0,in_to_out
EYE-GAS,7,97.34155959,-13.78822502,8.027349628,98.01878059,14.98342398,16.20123563,EYE_GAS,EYE-GAS-7,"['SUN', 'IVY', 'POP', 'FIX', 'ODD', 'TUX']",EYE-7_GAS-11,"['EYE-SUN-7', 'EYE-IVY-7', 'EYE-POP-7', 'FIX-GAS-11', 'GAS-ODD-11', 'GAS-TUX-11']","['EYE-SUN', 'EYE-IVY', 'EYE-POP', 'FIX-GAS', 'GAS-ODD', 'GAS-TUX']","['SUN-7', 'IVY-7', 'POP-7', 'FIX-11', 'ODD-11', 'TUX-8']",0,outer
GIN-ICE,4_6,-101.6621224,2.311318983,13.93948363,-89.79028241,31.51131598,18.75995663,GIN_ICE,GIN-ICE-4_GIN-ICE-6,"['SAY', 'ZZZ', 'BED', 'HAM', 'MAD']",GIN-4_ICE-4_GIN-6_ICE-6,"['GIN-SAY-4', 'GIN-ZZZ-6', 'BED-ICE-4', 'ICE-SAY-4', 'HAM-ICE-6', 'ICE-MAD-6']","['GIN-SAY', 'GIN-ZZZ', 'BED-ICE', 'ICE-SAY', 'HAM-ICE', 'ICE-MAD']","['SAY-4', 'ZZZ-6', 'BED-4', 'SAY-4', 'HAM-6', 'MAD-12']",0,in_to_out
