Bar_name,Modules,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground
ERA-JUG,6,-5.433488406,17.70930698,61.21293163,11.63524159,37.92189098,71.05300363,ERA_JUG,ERA-JUG-6,"['NIL', 'JOB', 'RIB', 'SOY', 'AHI']",ERA-6_JUG-6,"['ERA-NIL-7', 'JOB-JUG-5', 'JUG-NIL-5', 'JUG-RIB-6', 'JUG-SOY-6', 'AHI-JUG-7']","['ERA-NIL', 'JOB-JUG', 'JUG-NIL', 'JUG-RIB', 'JUG-SOY', 'AHI-JUG']","['NIL-7', 'JOB-5', 'NIL-5', 'RIB-6', 'SOY-6', 'AHI-7']",0
EON-NIL,7,25.22632359,51.31187898,48.11208163,62.85992059,54.72796798,52.16379663,EON_NIL,EON-NIL-7,"['ADO', 'JOB', 'JUG', 'TOY', 'AHI', 'ERA']",EON-7_NIL-7,"['ADO-NIL-5', 'JOB-NIL-5', 'JUG-NIL-5', 'NIL-TOY-5', 'NIL-TOY-7', 'AHI-NIL-7', 'ERA-NIL-7']","['ADO-NIL', 'JOB-NIL', 'JUG-NIL', 'NIL-TOY', 'AHI-NIL', 'ERA-NIL']","['ADO-5', 'JOB-5', 'JUG-5', 'TOY-5', 'TOY-7', 'AHI-7', 'ERA-7']",0
AHI-NIL,7,25.22632359,34.45504998,52.16379663,39.02183059,54.72796798,64.71688063,AHI_NIL,AHI-NIL-7,"['JUG', 'ADO', 'JOB', 'TOY', 'EON', 'ERA']",AHI-7_NIL-7,"['AHI-JUG-7', 'ADO-NIL-5', 'JOB-NIL-5', 'JUG-NIL-5', 'NIL-TOY-5', 'NIL-TOY-7', 'EON-NIL-7', 'ERA-NIL-7']","['AHI-JUG', 'ADO-NIL', 'JOB-NIL', 'JUG-NIL', 'NIL-TOY', 'EON-NIL', 'ERA-NIL']","['JUG-6', 'ADO-5', 'JOB-5', 'JUG-5', 'TOY-5', 'TOY-7', 'EON-7', 'ERA-7']",0
JUG-SOY,6,-25.26962541,6.414220983,63.01992663,-5.433488406,37.92189098,71.05300363,JUG_SOY,JUG-SOY-6,"['JOB', 'NIL', 'ERA', 'RIB', 'AHI']",JUG-6_SOY-6,"['JOB-JUG-5', 'JUG-NIL-5', 'ERA-JUG-6', 'JUG-RIB-6', 'AHI-JUG-7']","['JOB-JUG', 'JUG-NIL', 'ERA-JUG', 'JUG-RIB', 'AHI-JUG']","['JOB-5', 'NIL-5', 'ERA-6', 'RIB-6', 'AHI-7']",0
JOB-NAY,5,-14.06673741,74.53298798,50.76425863,3.845794594,88.98864298,59.56868863,JOB_NAY,JOB-NAY-5,"['ADO', 'NIL', 'JUG', 'TOY']",JOB-5_NAY-5,"['ADO-JOB-5', 'JOB-NIL-5', 'JOB-JUG-5', 'JOB-TOY-5']","['ADO-JOB', 'JOB-NIL', 'JOB-JUG', 'JOB-TOY']","['ADO-5', 'NIL-5', 'JUG-5', 'TOY-5']",0
ERA-NIL,7,17.26735359,17.24063198,52.16379663,25.22632359,54.72796798,60.56250663,ERA_NIL,ERA-NIL-7,"['JUG', 'ADO', 'JOB', 'TOY', 'AHI', 'EON']",ERA-7_NIL-7,"['ERA-JUG-6', 'ADO-NIL-5', 'JOB-NIL-5', 'JUG-NIL-5', 'NIL-TOY-5', 'NIL-TOY-7', 'AHI-NIL-7', 'EON-NIL-7']","['ERA-JUG', 'ADO-NIL', 'JOB-NIL', 'JUG-NIL', 'NIL-TOY', 'AHI-NIL', 'EON-NIL']","['JUG-6', 'ADO-5', 'JOB-5', 'JUG-5', 'TOY-5', 'TOY-7', 'AHI-7', 'EON-7']",0
JOB-JUG,5,-2.629957406,39.91665698,59.56868863,3.845794594,74.53298798,69.01312063,JOB_JUG,JOB-JUG-5,"['ADO', 'NAY', 'NIL', 'TOY', 'ERA', 'RIB', 'SOY', 'AHI']",JOB-5_JUG-5,"['ADO-JOB-5', 'JOB-NAY-5', 'JOB-NIL-5', 'JOB-TOY-5', 'JUG-NIL-5', 'ERA-JUG-6', 'JUG-RIB-6', 'JUG-SOY-6', 'AHI-JUG-7']","['ADO-JOB', 'JOB-NAY', 'JOB-NIL', 'JOB-TOY', 'JUG-NIL', 'ERA-JUG', 'JUG-RIB', 'JUG-SOY', 'AHI-JUG']","['ADO-5', 'NAY-5', 'NIL-5', 'TOY-5', 'NIL-5', 'ERA-6', 'RIB-6', 'SOY-6', 'AHI-7']",0
JOB-TOY,5,3.845794594,74.53298798,51.65415463,34.48611959,80.90008598,59.56868863,JOB_TOY,JOB-TOY-5,"['ADO', 'NAY', 'NIL', 'JUG']",JOB-5_TOY-5,"['ADO-JOB-5', 'JOB-NAY-5', 'JOB-NIL-5', 'JOB-JUG-5', 'NIL-TOY-5', 'NIL-TOY-7']","['ADO-JOB', 'JOB-NAY', 'JOB-NIL', 'JOB-JUG', 'NIL-TOY']","['ADO-5', 'NAY-5', 'NIL-5', 'JUG-5', 'NIL-5', 'NIL-7']",0
JOB-NIL,5,3.845794594,57.19140898,50.77433863,22.39774359,74.53298798,59.56868863,JOB_NIL,JOB-NIL-5,"['ADO', 'NAY', 'JUG', 'TOY', 'AHI', 'EON', 'ERA']",JOB-5_NIL-5,"['ADO-JOB-5', 'JOB-NAY-5', 'JOB-JUG-5', 'JOB-TOY-5', 'ADO-NIL-5', 'JUG-NIL-5', 'NIL-TOY-5', 'NIL-TOY-7', 'AHI-NIL-7', 'EON-NIL-7', 'ERA-NIL-7']","['ADO-JOB', 'JOB-NAY', 'JOB-JUG', 'JOB-TOY', 'ADO-NIL', 'JUG-NIL', 'NIL-TOY', 'AHI-NIL', 'EON-NIL', 'ERA-NIL']","['ADO-5', 'NAY-5', 'JUG-5', 'TOY-5', 'ADO-5', 'JUG-5', 'TOY-5', 'TOY-7', 'AHI-7', 'EON-7', 'ERA-7']",0
NIL-TOY,5_7,22.39774359,54.72796798,50.77433863,37.08808359,80.90008598,53.34773463,NIL_TOY,NIL-TOY-5_NIL-TOY-7,"['ADO', 'JOB', 'JUG', 'AHI', 'EON', 'ERA']",NIL-5_TOY-5_NIL-7_TOY-7,"['ADO-NIL-5', 'JOB-NIL-5', 'JUG-NIL-5', 'AHI-NIL-7', 'EON-NIL-7', 'ERA-NIL-7', 'JOB-TOY-5']","['ADO-NIL', 'JOB-NIL', 'JUG-NIL', 'AHI-NIL', 'EON-NIL', 'ERA-NIL', 'JOB-TOY']","['ADO-5', 'JOB-5', 'JUG-5', 'AHI-7', 'EON-7', 'ERA-7', 'JOB-5']",0
