Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
AGO,-73.94038531,90.54470979,-24.60431264,DEPRECATED,ALA_OAR_MIX_TAX,AGO-ALA_AGO-OAR_AGO-MIX_AGO-TAX,DEPRECATED,DEPRECATED,0,inner,left
BOX,-98.03328531,40.72574979,-82.64092264,DEPRECATED,HUG_GYM_VAN_LID_EGO,BOX-HUG_BOX-GYM_BOX-VAN_BOX-LID_BOX-EGO,DEPRECATED,DEPRECATED,1,outer,left
SIP,-25.01758531,133.6971198,-61.75674664,DEPRECATED,GUT_HEX_MAY_RUM_WAX,GUT-SIP_HEX-SIP_MAY-SIP_RUM-SIP_SIP-WAX,DEPRECATED,DEPRECATED,1,inner,left
BOY,105.7909147,6.008069785,-62.34431464,DEPRECATED,BAH_FOX_CIS_ORC,BAH-BOY_BOY-FOX_BOY-CIS_BOY-ORC,DEPRECATED,DEPRECATED,0,outer,right
PAY,101.0349147,-41.31128021,-28.35872264,DEPRECATED,ETA_TUX_WHY_WIN,ETA-PAY_PAY-TUX_PAY-WHY_PAY-WIN,DEPRECATED,DEPRECATED,0,outer,right
AGE,-87.77638531,-40.48878021,-34.41849264,DEPRECATED,KIT_DOG_BAR_SIR,AGE-KIT_AGE-DOG_AGE-BAR_AGE-SIR,DEPRECATED,DEPRECATED,0,inner,left
NAN,-52.24238531,19.81194979,44.70067736,DEPRECATED,DUH_FAN_HAM_SOY,DUH-NAN_FAN-NAN_HAM-NAN_NAN-SOY,DEPRECATED,DEPRECATED,0,inner,left
EON,59.64691469,45.68503979,50.22447736,DEPRECATED,AHI_BRO_YES_POP_NIL_TOY,AHI-EON_BRO-EON_EON-YES_EON-POP_EON-NIL_EON-TOY,DEPRECATED,DEPRECATED,0,outer,right
MIX,-78.66308531,107.0565198,-52.50296264,DEPRECATED,AIM_ALA_GUT_HEX_MOM_OAR_WAX_AGO,AIM-MIX_ALA-MIX_GUT-MIX_HEX-MIX_MIX-MOM_MIX-OAR_MIX-WAX_AGO-MIX,DEPRECATED,DEPRECATED,0,outer,left
EGO,-95.49628531,65.58764979,-73.37805264,DEPRECATED,AIM_MOM_LID_OAR_BOX_GYM,AIM-EGO_EGO-MOM_EGO-LID_EGO-OAR_BOX-EGO_EGO-GYM,DEPRECATED,DEPRECATED,0,outer,left
OAR,-98.90318531,78.10511979,-35.01203264,DEPRECATED,AGO_EGO_FLY_GYM_MIX_ZIG,AGO-OAR_EGO-OAR_FLY-OAR_GYM-OAR_MIX-OAR_OAR-ZIG,DEPRECATED,DEPRECATED,0,outer,left
BOA,-3.189085311,107.2747198,37.10817736,DEPRECATED,REF_WAR_SHY_NAY_HOW,BOA-REF_BOA-WAR_BOA-SHY_BOA-NAY_BOA-HOW,DEPRECATED,DEPRECATED,0,outer,mid
NAY,-12.74208531,81.87913979,55.20577736,DEPRECATED,ADO_BOA_FUN_JOB_REF_PLY,ADO-NAY_BOA-NAY_FUN-NAY_JOB-NAY_NAY-REF_NAY-PLY,DEPRECATED,DEPRECATED,0,outer,left
EGG,3.377914689,-143.2638802,26.32480736,DEPRECATED,ALL_PIG_FOR_MOO,ALL-EGG_EGG-PIG_EGG-FOR_EGG-MOO,DEPRECATED,DEPRECATED,0,outer,mid
TAT,-54.99058531,-68.70018021,-67.06360264,DEPRECATED,COP_ELK_ONO_SIR_USE,COP-TAT_ELK-TAT_ONO-TAT_SIR-TAT_TAT-USE,DEPRECATED,DEPRECATED,1,inner,left
SPY,57.29291469,115.5800198,-34.97468264,DEPRECATED,BIO_NIX_OVA_RAW,BIO-SPY_NIX-SPY_OVA-SPY_RAW-SPY,DEPRECATED,DEPRECATED,0,inner,right
RAD,44.77791469,125.9956198,-11.34018264,DEPRECATED,BIO_GAL_OVA_ELF,BIO-RAD_GAL-RAD_OVA-RAD_ELF-RAD,DEPRECATED,DEPRECATED,0,outer,right
COW,59.72391469,-55.89118021,30.46777736,DEPRECATED,WAS_ODD_FAX_AIR_KEG_ZOO,COW-WAS_COW-ODD_COW-FAX_AIR-COW_COW-KEG_COW-ZOO,DEPRECATED,DEPRECATED,0,inner,right
TAR,67.29491469,-77.22748021,-5.291122644,DEPRECATED,PHI_WAS_WHY_YAY,PHI-TAR_TAR-WAS_TAR-WHY_TAR-YAY,DEPRECATED,DEPRECATED,0,inner,right
JOY,83.44291469,99.07111979,-25.73498264,DEPRECATED,BIO_NOM_RAW_DIG,BIO-JOY_JOY-NOM_JOY-RAW_DIG-JOY,DEPRECATED,DEPRECATED,0,outer,right
PRO,-22.35008531,-111.9128802,52.64477736,DEPRECATED,GOO_HOT_PIG_ZAP_YAK_ALL,GOO-PRO_HOT-PRO_PIG-PRO_PRO-ZAP_PRO-YAK_ALL-PRO,DEPRECATED,DEPRECATED,0,outer,left
PAW,-109.0096853,13.50551979,-30.36475264,DEPRECATED,BED_CUP_DOG_GYM_SAY_ZIG_VAN,BED-PAW_CUP-PAW_DOG-PAW_GYM-PAW_PAW-SAY_PAW-ZIG_PAW-VAN,DEPRECATED,DEPRECATED,0,outer,left
TAX,-92.00608531,64.78612979,-7.708392644,DEPRECATED,FLY_WIZ_ZIG_AGO,FLY-TAX_TAX-WIZ_TAX-ZIG_AGO-TAX,DEPRECATED,DEPRECATED,0,inner,left
PIE,18.29291469,126.9045198,-23.74517264,DEPRECATED,ELF_GAL_HOW_NIX_OVA_RUM,ELF-PIE_GAL-PIE_HOW-PIE_NIX-PIE_OVA-PIE_PIE-RUM,DEPRECATED,DEPRECATED,1,inner,right
PIG,4.566914689,-115.0268802,38.66737736,DEPRECATED,EGG_JAM_PRO_MOO,EGG-PIG_JAM-PIG_PIG-PRO_MOO-PIG,DEPRECATED,DEPRECATED,0,inner,mid
RAW,75.89891469,106.4239198,-54.67726264,DEPRECATED,FRO_GUN_JOY_LEG_SPY_WHO,FRO-RAW_GUN-RAW_JOY-RAW_LEG-RAW_RAW-SPY_RAW-WHO,DEPRECATED,DEPRECATED,0,outer,right
JOB,5.609914689,67.06567979,64.22097736,DEPRECATED,NAY_JUG_TOY_PLY,JOB-NAY_JOB-JUG_JOB-TOY_JOB-PLY,DEPRECATED,DEPRECATED,0,outer,mid
TAG,99.25791469,30.96896979,-47.87125264,DEPRECATED,FOX_OFF_ORC_TUB_ASK_IVY,FOX-TAG_OFF-TAG_ORC-TAG_TAG-TUB_ASK-TAG_IVY-TAG,DEPRECATED,DEPRECATED,0,inner,right
DRY,-55.24468531,92.80521979,30.87727736,DEPRECATED,OIL_VOW_REF_SHY_FLY_FUN,DRY-OIL_DRY-VOW_DRY-REF_DRY-SHY_DRY-FLY_DRY-FUN,DEPRECATED,DEPRECATED,0,outer,left
RIB,3.605914689,-3.717764215,80.88867736,DEPRECATED,LAW_FOG_IRE_JUG,LAW-RIB_FOG-RIB_IRE-RIB_JUG-RIB,DEPRECATED,DEPRECATED,0,outer,mid
VAN,-108.6478853,17.78439979,-65.90712164,DEPRECATED,BOX_CUP_FLU_HUG_PAW_GYM,BOX-VAN_CUP-VAN_FLU-VAN_HUG-VAN_PAW-VAN_GYM-VAN,DEPRECATED,DEPRECATED,0,outer,left
WIG,-80.66018531,-104.1232802,-14.00430264,DEPRECATED,KEY_KIT_NOR_USE_WOW_ELK,KEY-WIG_KIT-WIG_NOR-WIG_USE-WIG_WIG-WOW_ELK-WIG,DEPRECATED,DEPRECATED,0,outer,left
EYE,95.25591469,9.086469785,18.46879736,DEPRECATED,SUN_POP_GAS_FIX,EYE-SUN_EYE-POP_EYE-GAS_EYE-FIX,DEPRECATED,DEPRECATED,0,outer,right
HAM,-72.73478531,1.925039785,49.19047736,DEPRECATED,DUH_NAN_ZZZ_ICE_ASH_LAX,DUH-HAM_HAM-NAN_HAM-ZZZ_HAM-ICE_ASH-HAM_HAM-LAX,DEPRECATED,DEPRECATED,0,outer,left
LIE,23.13491469,-70.39778021,54.58787736,DEPRECATED,EVE_ZOO_HOT_FAX,EVE-LIE_LIE-ZOO_HOT-LIE_FAX-LIE,DEPRECATED,DEPRECATED,0,inner,right
CHI,-99.77388531,-39.13078021,-9.506032644,DEPRECATED,BED_DOG_KIT_MAD,BED-CHI_CHI-DOG_CHI-KIT_CHI-MAD,DEPRECATED,DEPRECATED,0,outer,left
FIX,73.79991469,-9.907870215,25.56523736,DEPRECATED,AIR_GAS_POP_EYE,AIR-FIX_FIX-GAS_FIX-POP_EYE-FIX,DEPRECATED,DEPRECATED,0,inner,right
