Pixel_i,Module1,Module2,Inner_Outer,Left_Right_Mid,Node1,Node2,X,Y,Z,Strip
0,1,1,in_to_out,left,ONO,TAT,-84.72683357508078,-64.28030385756804,-56.99927969950042,1
1,1,1,in_to_out,left,ONO,TAT,-84.11136910441513,-64.37178402128633,-57.2075855064726,1
2,1,1,in_to_out,left,ONO,TAT,-83.49590463374949,-64.46326418500462,-57.415891313444774,1
3,1,1,in_to_out,left,ONO,TAT,-82.88044016308385,-64.5547443487229,-57.62419712041695,1
4,1,1,in_to_out,left,ONO,TAT,-82.2649756924182,-64.6462245124412,-57.83250292738913,1
5,1,1,in_to_out,left,ONO,TAT,-81.64951122175256,-64.73770467615948,-58.040808734361306,1
6,1,1,in_to_out,left,ONO,TAT,-81.03404675108692,-64.82918483987777,-58.24911454133348,1
7,1,1,in_to_out,left,ONO,TAT,-80.41858228042128,-64.92066500359606,-58.45742034830566,1
8,1,1,in_to_out,left,ONO,TAT,-79.80311780975563,-65.01214516731434,-58.66572615527784,1
9,1,1,in_to_out,left,ONO,TAT,-79.18765333908999,-65.10362533103263,-58.874031962250015,1
10,1,1,in_to_out,left,ONO,TAT,-78.57218886842435,-65.19510549475092,-59.08233776922219,1
11,1,1,in_to_out,left,ONO,TAT,-77.9567243977587,-65.2865856584692,-59.29064357619437,1
12,1,1,in_to_out,left,ONO,TAT,-77.34125992709306,-65.3780658221875,-59.49894938316655,1
13,1,1,in_to_out,left,ONO,TAT,-76.72579545642742,-65.46954598590578,-59.707255190138724,1
14,1,1,in_to_out,left,ONO,TAT,-76.11033098576178,-65.56102614962407,-59.9155609971109,1
15,1,1,in_to_out,left,ONO,TAT,-75.49486651509613,-65.65250631334236,-60.12386680408308,1
16,1,1,in_to_out,left,ONO,TAT,-74.87940204443049,-65.74398647706064,-60.332172611055256,1
17,1,1,in_to_out,left,ONO,TAT,-74.26393757376485,-65.83546664077893,-60.54047841802743,1
18,1,1,in_to_out,left,ONO,TAT,-73.6484731030992,-65.92694680449722,-60.74878422499961,1
19,1,1,in_to_out,left,ONO,TAT,-73.03300863243356,-66.01842696821551,-60.95709003197179,1
20,1,1,in_to_out,left,ONO,TAT,-72.41754416176792,-66.1099071319338,-61.165395838943965,1
21,1,1,in_to_out,left,ONO,TAT,-71.80207969110228,-66.20138729565208,-61.37370164591614,1
22,1,1,in_to_out,left,ONO,TAT,-71.18661522043664,-66.29286745937037,-61.58200745288832,1
