Pixel_i,Module,Node1,Node2,X,Y,Z
1,11,COW,AIR,457.52446062766137,-56.32986959029638,105.91668441846005
2,11,COW,AIR,457.74734025532274,-55.81686118059277,106.2597638369201
3,11,COW,AIR,457.9702198829841,-55.30385277088915,106.60284325538015
4,11,COW,AIR,458.1930995106455,-54.790844361185535,106.9459226738402
5,11,COW,AIR,458.41597913830685,-54.27783595148192,107.28900209230025
6,11,COW,AIR,458.6388587659682,-53.7648275417783,107.6320815107603
7,11,COW,AIR,458.8617383936296,-53.25181913207469,107.97516092922035
8,11,COW,AIR,459.08461802129096,-52.73881072237107,108.3182403476804
9,11,COW,AIR,459.30749764895234,-52.225802312667454,108.66131976614045
10,11,COW,AIR,459.5303772766137,-51.71279390296384,109.0043991846005
11,11,COW,AIR,459.7532569042751,-51.19978549326022,109.34747860306055
12,11,COW,AIR,459.97613653193645,-50.686777083556606,109.6905580215206
13,11,COW,AIR,460.1990161595978,-50.17376867385299,110.03363743998065
14,11,COW,AIR,460.4218957872592,-49.660760264149374,110.3767168584407
15,11,COW,AIR,460.64477541492056,-49.14775185444576,110.71979627690075
16,11,COW,AIR,460.86765504258193,-48.63474344474214,111.0628756953608
17,11,COW,AIR,461.0905346702433,-48.121735035038526,111.40595511382085
18,11,COW,AIR,461.31341429790467,-47.60872662533491,111.7490345322809
19,11,COW,AIR,461.53629392556604,-47.095718215631294,112.09211395074095
20,11,COW,AIR,461.7591735532274,-46.58270980592768,112.435193369201
21,11,COW,AIR,461.9820531808888,-46.06970139622406,112.77827278766105
22,11,COW,AIR,462.20493280855015,-45.556692986520446,113.1213522061211
23,11,COW,AIR,462.4278124362115,-45.04368457681683,113.46443162458115
24,11,COW,AIR,462.6506920638729,-44.530676167113214,113.8075110430412
25,11,COW,AIR,462.87357169153427,-44.0176677574096,114.15059046150125
26,11,COW,AIR,463.09645131919564,-43.50465934770598,114.4936698799613
27,11,COW,AIR,463.319330946857,-42.991650938002365,114.83674929842135
28,11,COW,AIR,463.5422105745184,-42.47864252829875,115.1798287168814
29,11,COW,AIR,463.76509020217975,-41.96563411859513,115.52290813534145
30,11,COW,AIR,463.9879698298411,-41.45262570889152,115.8659875538015
31,11,COW,AIR,464.2108494575025,-40.9396172991879,116.20906697226155
32,11,COW,AIR,464.43372908516386,-40.426608889484285,116.5521463907216
33,11,COW,AIR,464.65660871282523,-39.91360047978067,116.89522580918165
34,11,COW,AIR,464.8794883404866,-39.40059207007705,117.2383052276417
35,11,COW,AIR,465.102367968148,-38.88758366037344,117.58138464610175
36,11,COW,AIR,465.32524759580934,-38.37457525066982,117.9244640645618
37,11,COW,AIR,465.5481272234707,-37.861566840966205,118.26754348302185
38,11,COW,AIR,465.7710068511321,-37.34855843126259,118.6106229014819
39,11,COW,AIR,465.99388647879346,-36.83555002155897,118.95370231994195
40,11,COW,AIR,466.2167661064548,-36.32254161185536,119.296781738402
41,11,COW,AIR,466.4396457341162,-35.80953320215174,119.63986115686205
42,11,COW,AIR,466.66252536177757,-35.296524792448125,119.9829405753221
43,11,COW,AIR,466.88540498943894,-34.78351638274451,120.32601999378215
44,11,COW,AIR,467.1082846171003,-34.27050797304089,120.6690994122422
45,11,COW,AIR,467.3311642447617,-33.75749956333728,121.01217883070225
46,11,COW,AIR,467.55404387242305,-33.24449115363366,121.3552582491623
47,11,COW,AIR,467.7769235000844,-32.731482743930044,121.69833766762235
48,11,GIG,AIR,444.27263069332736,-23.94091684975622,128.51944592905454
49,11,GIG,AIR,444.8624733866547,-24.16834069951244,128.34360385810908
50,11,GIG,AIR,445.45231607998204,-24.395764549268662,128.1677617871636
51,11,GIG,AIR,446.0421587733094,-24.623188399024883,127.99191971621813
52,11,GIG,AIR,446.6320014666367,-24.850612248781104,127.81607764527266
53,11,GIG,AIR,447.22184415996406,-25.078036098537325,127.64023557432718
54,11,GIG,AIR,447.8116868532914,-25.305459948293546,127.4643935033817
55,11,GIG,AIR,448.40152954661875,-25.532883798049767,127.28855143243622
56,11,GIG,AIR,448.9913722399461,-25.760307647805988,127.11270936149074
57,11,GIG,AIR,449.58121493327343,-25.98773149756221,126.93686729054527
58,11,GIG,AIR,450.17105762660077,-26.21515534731843,126.76102521959979
59,11,GIG,AIR,450.7609003199281,-26.44257919707465,126.58518314865431
60,11,GIG,AIR,451.35074301325545,-26.67000304683087,126.40934107770883
61,11,GIG,AIR,451.9405857065828,-26.897426896587092,126.23349900676335
62,11,GIG,AIR,452.53042839991014,-27.124850746343313,126.05765693581787
63,11,GIG,AIR,453.1202710932375,-27.352274596099534,125.8818148648724
64,11,GIG,AIR,453.7101137865648,-27.579698445855755,125.70597279392692
65,11,GIG,AIR,454.29995647989216,-27.807122295611975,125.53013072298144
66,11,GIG,AIR,454.8897991732195,-28.034546145368196,125.35428865203596
67,11,GIG,AIR,455.47964186654684,-28.261969995124417,125.17844658109048
68,11,GIG,AIR,456.0694845598742,-28.489393844880638,125.002604510145
69,11,GIG,AIR,456.6593272532015,-28.71681769463686,124.82676243919953
70,11,GIG,AIR,457.24916994652887,-28.94424154439308,124.65092036825405
71,11,GIG,AIR,457.8390126398562,-29.1716653941493,124.47507829730857
72,11,GIG,AIR,458.42885533318355,-29.39908924390552,124.29923622636309
73,11,GIG,AIR,459.0186980265109,-29.626513093661742,124.12339415541761
74,11,GIG,AIR,459.60854071983823,-29.853936943417963,123.94755208447214
75,11,GIG,AIR,460.1983834131656,-30.081360793174184,123.77171001352666
76,11,GIG,AIR,460.7882261064929,-30.308784642930405,123.59586794258118
77,11,GIG,AIR,461.37806879982026,-30.536208492686626,123.4200258716357
78,11,GIG,AIR,461.9679114931476,-30.763632342442847,123.24418380069022
79,11,GIG,AIR,462.55775418647494,-30.991056192199068,123.06834172974474
80,11,GIG,AIR,463.1475968798023,-31.21848004195529,122.89249965879927
81,11,GIG,AIR,463.7374395731296,-31.44590389171151,122.71665758785379
82,11,GIG,AIR,464.32728226645696,-31.67332774146773,122.54081551690831
83,11,GIG,AIR,464.9171249597843,-31.90075159122395,122.36497344596283
84,11,GIG,AIR,465.50696765311164,-32.12817544098017,122.18913137501735
85,11,GIG,AIR,466.096810346439,-32.35559929073639,122.01328930407188
86,11,GIG,AIR,466.6866530397663,-32.583023140492614,121.8374472331264
87,11,GIG,AIR,467.27649573309367,-32.810446990248835,121.66160516218092
88,11,GIG,AIR,467.866338426421,-33.037870840005056,121.48576309123544
89,11,AIR,ODD,468.0468724582987,-33.07331995943496,121.01253784979289
90,11,AIR,ODD,468.4180059165974,-33.18225791886992,120.48249169958578
91,11,AIR,ODD,468.7891393748961,-33.29119587830488,119.95244554937867
92,11,AIR,ODD,469.16027283319477,-33.400133837739844,119.42239939917155
93,11,AIR,ODD,469.53140629149345,-33.509071797174805,118.89235324896444
94,11,AIR,ODD,469.90253974979214,-33.618009756609766,118.36230709875733
95,11,AIR,ODD,470.2736732080908,-33.72694771604473,117.83226094855021
96,11,AIR,ODD,470.6448066663895,-33.83588567547969,117.3022147983431
97,11,AIR,ODD,471.0159401246882,-33.94482363491465,116.77216864813599
98,11,AIR,ODD,471.3870735829869,-34.05376159434961,116.24212249792888
99,11,AIR,ODD,471.7582070412856,-34.16269955378457,115.71207634772176
100,11,AIR,ODD,472.12934049958426,-34.27163751321953,115.18203019751465
101,11,AIR,ODD,472.50047395788295,-34.38057547265449,114.65198404730754
102,11,AIR,ODD,472.87160741618163,-34.48951343208945,114.12193789710042
103,11,AIR,ODD,473.2427408744803,-34.598451391524414,113.59189174689331
104,11,AIR,ODD,473.613874332779,-34.707389350959374,113.0618455966862
105,11,AIR,ODD,473.9850077910777,-34.816327310394335,112.53179944647908
106,11,AIR,ODD,474.3561412493764,-34.925265269829296,112.00175329627197
107,11,AIR,ODD,474.72727470767506,-35.03420322926426,111.47170714606486
108,11,AIR,ODD,475.09840816597375,-35.14314118869922,110.94166099585775
109,11,AIR,ODD,475.46954162427244,-35.25207914813418,110.41161484565063
110,11,AIR,ODD,475.8406750825711,-35.36101710756914,109.88156869544352
111,11,AIR,ODD,476.2118085408698,-35.4699550670041,109.3515225452364
112,11,AIR,ODD,476.5829419991685,-35.57889302643906,108.8214763950293
113,11,AIR,ODD,476.9540754574672,-35.68783098587402,108.29143024482218
114,11,AIR,ODD,477.32520891576587,-35.79676894530898,107.76138409461507
115,11,AIR,ODD,477.69634237406456,-35.905706904743944,107.23133794440795
116,11,AIR,ODD,478.06747583236324,-36.014644864178905,106.70129179420084
