Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z
1,14,14,ERA,IRE,14.241692372640951,14.276553994227116,62.27263880578515
2,14,14,ERA,IRE,14.745361155281904,13.881076008454233,62.4157169815703
3,14,14,ERA,IRE,15.249029937922856,13.48559802268135,62.55879515735545
4,14,14,ERA,IRE,15.752698720563808,13.090120036908466,62.7018733331406
5,14,14,ERA,IRE,16.25636750320476,12.694642051135583,62.844951508925746
6,14,14,ERA,IRE,16.76003628584571,12.2991640653627,62.988029684710895
7,14,14,ERA,IRE,17.26370506848666,11.903686079589816,63.131107860496044
8,14,14,ERA,IRE,17.767373851127612,11.508208093816933,63.27418603628119
9,14,14,ERA,IRE,18.271042633768563,11.11273010804405,63.41726421206634
10,14,14,ERA,IRE,18.774711416409513,10.717252122271166,63.56034238785149
11,14,14,ERA,IRE,19.278380199050464,10.321774136498282,63.70342056363664
12,14,14,ERA,IRE,19.782048981691414,9.926296150725399,63.84649873942179
13,14,14,ERA,IRE,20.285717764332365,9.530818164952516,63.98957691520694
14,14,14,ERA,IRE,20.789386546973315,9.135340179179632,64.13265509099209
15,14,14,ERA,IRE,21.293055329614266,8.739862193406749,64.27573326677724
16,14,14,ERA,IRE,21.796724112255216,8.344384207633865,64.41881144256239
17,14,14,ERA,IRE,22.300392894896166,7.948906221860982,64.56188961834754
18,14,14,ERA,IRE,22.804061677537117,7.553428236088099,64.70496779413268
19,14,14,ERA,IRE,23.307730460178067,7.157950250315215,64.84804596991783
20,14,14,ERA,IRE,23.811399242819018,6.762472264542332,64.99112414570298
21,14,14,ERA,IRE,24.31506802545997,6.3669942787694485,65.13420232148813
22,14,14,ERA,IRE,24.81873680810092,5.971516292996565,65.27728049727328
23,14,14,ERA,IRE,25.32240559074187,5.576038307223682,65.42035867305843
24,14,14,ERA,IRE,25.82607437338282,5.180560321450798,65.56343684884358
25,14,14,ERA,IRE,26.32974315602377,4.785082335677915,65.70651502462873
26,14,14,ERA,IRE,26.83341193866472,4.3896043499050315,65.84959320041388
27,14,14,ERA,IRE,27.33708072130567,3.994126364132148,65.99267137619903
28,14,14,ERA,IRE,27.840749503946622,3.5986483783592647,66.13574955198418
