Bar_name,Module,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
LAW-OLD,14,30.4079,-2.88558,74.5791,67.204,9.60728,83.3286,LAW_OLD,LAW-OLD-14,LAW-14_OLD-14,ERA_EVE_FOG_GIG_IRE_RIB_LIE_TAU_SOY_HOT_LAB_ZAP,ERA-LAW-14_EVE-LAW-14_FOG-LAW-14_GIG-LAW-14_IRE-LAW-14_LAW-RIB-14_LAW-LIE-14_LAW-TAU-14_LAW-SOY-14_HOT-OLD-13_LAB-OLD-13_OLD-ZAP-13_LIE-OLD-14_OLD-TAU-14_EVE-OLD-14_FOG-OLD-14,ERA-LAW_EVE-LAW_FOG-LAW_GIG-LAW_IRE-LAW_LAW-RIB_LAW-LIE_LAW-TAU_LAW-SOY_HOT-OLD_LAB-OLD_LIE-OLD_OLD-TAU_OLD-ZAP_EVE-OLD_FOG-OLD,ERA-14_EVE-14_FOG-14_GIG-14_IRE-14_RIB-14_LIE-14_TAU-14_SOY-6_HOT-13_LAB-13_ZAP-13_LIE-14_TAU-14_EVE-14_FOG-14,0,in_to_out,right
OLD-TAU,14,50.9913,-24.3194,68.645,67.204,-2.88558,83.3286,OLD_TAU,OLD-TAU-14,OLD-14_TAU-14,HOT_LAB_LIE_ZAP_EVE_FOG_LAW_ACT_SOY_TRY_BUG_LAM,HOT-OLD-13_LAB-OLD-13_OLD-ZAP-13_LIE-OLD-14_EVE-OLD-14_FOG-OLD-14_LAW-OLD-14_LAB-TAU-13_TAU-ZAP-13_FOG-TAU-14_LIE-TAU-14_LAW-TAU-14_ACT-TAU-6_SOY-TAU-6_TAU-TRY-6_BUG-TAU-12_LAM-TAU-12,HOT-OLD_LAB-OLD_LIE-OLD_OLD-ZAP_EVE-OLD_FOG-OLD_LAW-OLD_ACT-TAU_FOG-TAU_SOY-TAU_TAU-TRY_LAB-TAU_LIE-TAU_TAU-ZAP_LAW-TAU_BUG-TAU_LAM-TAU,HOT-13_LAB-13_ZAP-13_LIE-14_EVE-14_FOG-14_LAW-14_LAB-13_ZAP-13_FOG-14_LIE-14_LAW-14_ACT-6_SOY-6_TRY-6_BUG-12_LAM-12,0,in_to_out,right
LIE-TAU,14,50.9913,-24.3194,61.3543,75.8476,22.7277,68.645,LIE_TAU,LIE-TAU-14,LIE-14_TAU-14,COW_EAR_FAX_GIG_JAM_ZOO_HOT_ZAP_OLD_PIG_EVE_LAW_ACT_FOG_SOY_TRY_LAB_BUG_LAM,COW-LIE-11_EAR-LIE-11_FAX-LIE-11_LIE-ZOO-11_JAM-LIE-13_HOT-LIE-13_LIE-ZAP-13_LIE-PIG-13_GIG-LIE-14_LIE-OLD-14_EVE-LIE-14_LAW-LIE-14_LAB-TAU-13_TAU-ZAP-13_FOG-TAU-14_OLD-TAU-14_LAW-TAU-14_ACT-TAU-6_SOY-TAU-6_TAU-TRY-6_BUG-TAU-12_LAM-TAU-12,COW-LIE_EAR-LIE_FAX-LIE_GIG-LIE_JAM-LIE_LIE-ZOO_HOT-LIE_LIE-ZAP_LIE-OLD_LIE-PIG_EVE-LIE_LAW-LIE_ACT-TAU_FOG-TAU_SOY-TAU_TAU-TRY_LAB-TAU_OLD-TAU_TAU-ZAP_LAW-TAU_BUG-TAU_LAM-TAU,COW-11_EAR-11_FAX-11_ZOO-11_JAM-13_HOT-13_ZAP-13_PIG-13_GIG-14_OLD-14_EVE-14_LAW-14_LAB-13_ZAP-13_FOG-14_OLD-14_LAW-14_ACT-6_SOY-6_TRY-6_BUG-12_LAM-12,0,inner,right
LAW-TAU,14,30.4079,-24.3194,68.645,50.9913,9.60728,74.5791,LAW_TAU,LAW-TAU-14,LAW-14_TAU-14,ERA_EVE_FOG_GIG_IRE_RIB_LIE_OLD_SOY_ACT_TRY_LAB_ZAP_BUG_LAM,ERA-LAW-14_EVE-LAW-14_FOG-LAW-14_GIG-LAW-14_IRE-LAW-14_LAW-RIB-14_LAW-LIE-14_LAW-OLD-14_LAW-SOY-14_LAB-TAU-13_TAU-ZAP-13_FOG-TAU-14_LIE-TAU-14_OLD-TAU-14_ACT-TAU-6_SOY-TAU-6_TAU-TRY-6_BUG-TAU-12_LAM-TAU-12,ERA-LAW_EVE-LAW_FOG-LAW_GIG-LAW_IRE-LAW_LAW-RIB_LAW-LIE_LAW-OLD_LAW-SOY_ACT-TAU_FOG-TAU_SOY-TAU_TAU-TRY_LAB-TAU_LIE-TAU_OLD-TAU_TAU-ZAP_BUG-TAU_LAM-TAU,ERA-14_EVE-14_FOG-14_GIG-14_IRE-14_RIB-14_LIE-14_OLD-14_SOY-6_LAB-13_ZAP-13_FOG-14_LIE-14_OLD-14_ACT-6_SOY-6_TRY-6_BUG-12_LAM-12,0,inner,right
FOG-TAU,14,27.423,-24.3194,68.645,50.9913,-16.0745,90.4769,FOG_TAU,FOG-TAU-14,FOG-14_TAU-14,TRY_RIB_SOY_LAW_OLD_ACT_LAB_LIE_ZAP_BUG_LAM,FOG-RIB-14_FOG-LAW-14_FOG-OLD-14_FOG-TRY-6_FOG-SOY-6_LAB-TAU-13_TAU-ZAP-13_LIE-TAU-14_OLD-TAU-14_LAW-TAU-14_ACT-TAU-6_SOY-TAU-6_TAU-TRY-6_BUG-TAU-12_LAM-TAU-12,FOG-TRY_FOG-RIB_FOG-SOY_FOG-LAW_FOG-OLD_ACT-TAU_SOY-TAU_TAU-TRY_LAB-TAU_LIE-TAU_OLD-TAU_TAU-ZAP_LAW-TAU_BUG-TAU_LAM-TAU,RIB-14_LAW-14_OLD-14_TRY-6_SOY-6_LAB-13_ZAP-13_LIE-14_OLD-14_LAW-14_ACT-6_SOY-6_TRY-6_BUG-12_LAM-12,0,in_to_out,right
FOG-OLD,14,27.423,-16.0745,83.3286,67.204,-2.88558,90.4769,FOG_OLD,FOG-OLD-14,FOG-14_OLD-14,TAU_TRY_RIB_SOY_LAW_HOT_LAB_LIE_ZAP_EVE,FOG-TAU-14_FOG-RIB-14_FOG-LAW-14_FOG-TRY-6_FOG-SOY-6_HOT-OLD-13_LAB-OLD-13_OLD-ZAP-13_LIE-OLD-14_OLD-TAU-14_EVE-OLD-14_LAW-OLD-14,FOG-TAU_FOG-TRY_FOG-RIB_FOG-SOY_FOG-LAW_HOT-OLD_LAB-OLD_LIE-OLD_OLD-TAU_OLD-ZAP_EVE-OLD_LAW-OLD,TAU-14_RIB-14_LAW-14_TRY-6_SOY-6_HOT-13_LAB-13_ZAP-13_LIE-14_TAU-14_EVE-14_LAW-14,0,outer,right
LAW-RIB,14,2.4488,-0.528874,74.5791,30.4079,9.60728,90.7215,LAW_RIB,LAW-RIB-14,LAW-14_RIB-14,ERA_EVE_FOG_GIG_IRE_LIE_TAU_OLD_SOY_JUG,ERA-LAW-14_EVE-LAW-14_FOG-LAW-14_GIG-LAW-14_IRE-LAW-14_LAW-LIE-14_LAW-TAU-14_LAW-OLD-14_LAW-SOY-14_ERA-RIB-14_FOG-RIB-14_IRE-RIB-14_JUG-RIB-6_RIB-SOY-6,ERA-LAW_EVE-LAW_FOG-LAW_GIG-LAW_IRE-LAW_LAW-LIE_LAW-TAU_LAW-OLD_LAW-SOY_ERA-RIB_FOG-RIB_JUG-RIB_RIB-SOY_IRE-RIB,ERA-14_EVE-14_FOG-14_GIG-14_IRE-14_LIE-14_TAU-14_OLD-14_SOY-6_ERA-14_FOG-14_IRE-14_JUG-6_SOY-6,0,in_to_out,mid
FOG-RIB,14,2.4488,-16.0745,90.4769,27.423,-0.528874,90.7215,FOG_RIB,FOG-RIB-14,FOG-14_RIB-14,TAU_TRY_SOY_LAW_OLD_ERA_JUG_IRE,FOG-TAU-14_FOG-LAW-14_FOG-OLD-14_FOG-TRY-6_FOG-SOY-6_ERA-RIB-14_IRE-RIB-14_LAW-RIB-14_JUG-RIB-6_RIB-SOY-6,FOG-TAU_FOG-TRY_FOG-SOY_FOG-LAW_FOG-OLD_ERA-RIB_JUG-RIB_RIB-SOY_IRE-RIB_LAW-RIB,TAU-14_LAW-14_OLD-14_TRY-6_SOY-6_ERA-14_IRE-14_LAW-14_JUG-6_SOY-6,0,outer,mid
FOG-LAW,14,27.423,-16.0745,74.5791,30.4079,9.60728,90.4769,FOG_LAW,FOG-LAW-14,FOG-14_LAW-14,TAU_TRY_RIB_SOY_OLD_ERA_EVE_GIG_IRE_LIE,FOG-TAU-14_FOG-RIB-14_FOG-OLD-14_FOG-TRY-6_FOG-SOY-6_ERA-LAW-14_EVE-LAW-14_GIG-LAW-14_IRE-LAW-14_LAW-RIB-14_LAW-LIE-14_LAW-TAU-14_LAW-OLD-14_LAW-SOY-14,FOG-TAU_FOG-TRY_FOG-RIB_FOG-SOY_FOG-OLD_ERA-LAW_EVE-LAW_GIG-LAW_IRE-LAW_LAW-RIB_LAW-LIE_LAW-TAU_LAW-OLD_LAW-SOY,TAU-14_RIB-14_OLD-14_TRY-6_SOY-6_ERA-14_EVE-14_GIG-14_IRE-14_RIB-14_LIE-14_TAU-14_OLD-14_SOY-6,0,in_to_out,right
ERA-LAW,14,-14.5776,9.60728,68.9337,30.4079,13.293,74.5791,ERA_LAW,ERA-LAW-14,ERA-14_LAW-14,JUG_RIB_SOY_PLY_AHI_IRE_YES_NIL_GIG_EVE_FOG_LIE_TAU_OLD,ERA-RIB-14_ERA-IRE-14_ERA-GIG-14_AHI-ERA-7_ERA-YES-7_ERA-NIL-7_ERA-JUG-6_ERA-SOY-6_ERA-PLY-6_EVE-LAW-14_FOG-LAW-14_GIG-LAW-14_IRE-LAW-14_LAW-RIB-14_LAW-LIE-14_LAW-TAU-14_LAW-OLD-14_LAW-SOY-14,ERA-JUG_ERA-RIB_ERA-SOY_ERA-PLY_AHI-ERA_ERA-IRE_ERA-YES_ERA-NIL_ERA-GIG_EVE-LAW_FOG-LAW_GIG-LAW_IRE-LAW_LAW-RIB_LAW-LIE_LAW-TAU_LAW-OLD_LAW-SOY,RIB-14_IRE-14_GIG-14_AHI-7_YES-7_NIL-7_JUG-6_SOY-6_PLY-6_EVE-14_FOG-14_GIG-14_IRE-14_RIB-14_LIE-14_TAU-14_OLD-14_SOY-6,0,inner,mid
