Bar_name,Module,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
COP-WOW,1,-57.83488531,-126.2468802,-38.18104264,-40.06518531,-102.0463802,-12.31965264,COP_WOW,DEPRECATED,DEPRECATED,WOW_NEW_GET_USE_TAT_ELK_COP_NEW_SAD_WIG,DEPRECATED,COP-WOW_COP-NEW_COP-GET_COP-USE_COP-TAT_COP-ELK_COP-WOW_NEW-WOW_SAD-WOW_WIG-WOW,DEPRECATED,0,inner,left
WIG-WOW,1,-80.66018531,-126.2468802,-14.00430264,-57.83488531,-104.1232802,-12.31965264,WIG_WOW,DEPRECATED,DEPRECATED,KEY_KIT_NOR_USE_WOW_ELK_COP_NEW_SAD_WIG,DEPRECATED,KEY-WIG_KIT-WIG_NOR-WIG_USE-WIG_WIG-WOW_ELK-WIG_COP-WOW_NEW-WOW_SAD-WOW_WIG-WOW,DEPRECATED,0,in_to_out,left
KEY-WIG,1,-80.66018531,-118.4118802,-14.00430264,-66.71198531,-104.1232802,15.00481736,KEY_WIG,DEPRECATED,DEPRECATED,KEY_KIT_NOR_USE_WOW_ELK_FIG_WIG_SAD_NOR,DEPRECATED,KEY-WIG_KIT-WIG_NOR-WIG_USE-WIG_WIG-WOW_ELK-WIG_FIG-KEY_KEY-WIG_KEY-SAD_KEY-NOR,DEPRECATED,0,outer,left
FIG-KEY,1,-66.71198531,-118.4118802,15.00481736,-66.68308531,-94.63708021,36.45687736,FIG_KEY,DEPRECATED,DEPRECATED,ART_BUG_KEY_GOO_NOR_YAK_FIG_WIG_SAD_NOR,DEPRECATED,ART-FIG_BUG-FIG_FIG-KEY_FIG-GOO_FIG-NOR_FIG-YAK_FIG-KEY_KEY-WIG_KEY-SAD_KEY-NOR,DEPRECATED,0,outer,left
FIG-NOR,1,-73.39898531,-94.63708021,9.476237356,-66.68308531,-93.24168021,36.45687736,FIG_NOR,DEPRECATED,DEPRECATED,ART_BUG_KEY_GOO_NOR_YAK_FIG_KIT_WIG_KEY,DEPRECATED,ART-FIG_BUG-FIG_FIG-KEY_FIG-GOO_FIG-NOR_FIG-YAK_FIG-NOR_KIT-NOR_NOR-WIG_KEY-NOR,DEPRECATED,0,in_to_out,left
KIT-NOR,1,-90.93338531,-93.24168021,-13.01105264,-73.39898531,-69.64768021,9.476237356,KIT_NOR,DEPRECATED,DEPRECATED,FIG_KIT_WIG_KEY_AGE_CHI_COY_ELK_NOR_WIG_ONO_ART,DEPRECATED,FIG-NOR_KIT-NOR_NOR-WIG_KEY-NOR_AGE-KIT_CHI-KIT_COY-KIT_ELK-KIT_KIT-NOR_KIT-WIG_KIT-ONO_ART-KIT,DEPRECATED,0,in_to_out,left
KIT-ONO,1,-90.93338531,-69.64768021,-56.52309264,-86.13378531,-64.07118021,-13.01105264,KIT_ONO,DEPRECATED,DEPRECATED,BAR_KIT_SIR_USE_TAT_AGE_CHI_COY_ELK_NOR_WIG_ONO_ART,DEPRECATED,BAR-ONO_KIT-ONO_ONO-SIR_ONO-USE_ONO-TAT_AGE-KIT_CHI-KIT_COY-KIT_ELK-KIT_KIT-NOR_KIT-WIG_KIT-ONO_ART-KIT,DEPRECATED,0,outer,left
BAR-ONO,1,-103.0659853,-64.07118021,-56.52309264,-86.13378531,-32.33598021,-54.60892264,BAR_ONO,DEPRECATED,DEPRECATED,CUP_FLU_DOG_AGE_SIR_ONO_BAR_KIT_SIR_USE_TAT,DEPRECATED,BAR-CUP_BAR-FLU_BAR-DOG_AGE-BAR_BAR-SIR_BAR-ONO_BAR-ONO_KIT-ONO_ONO-SIR_ONO-USE_ONO-TAT,DEPRECATED,0,outer,left
BAR-SIR,1,-103.0659853,-38.02238021,-75.01906264,-82.40258531,-32.33598021,-54.60892264,BAR_SIR,DEPRECATED,DEPRECATED,AGE_BAR_ELK_ONO_TAT_CUP_FLU_HUG_CUP_FLU_DOG_AGE_SIR_ONO,DEPRECATED,AGE-SIR_BAR-SIR_ELK-SIR_ONO-SIR_SIR-TAT_CUP-SIR_FLU-SIR_HUG-SIR_BAR-CUP_BAR-FLU_BAR-DOG_AGE-BAR_BAR-SIR_BAR-ONO,DEPRECATED,0,in_to_out,left
FLU-SIR,1,-102.6167853,-38.02238021,-75.01906264,-82.40258531,-11.68779021,-73.81925264,FLU_SIR,DEPRECATED,DEPRECATED,AGE_BAR_ELK_ONO_TAT_CUP_FLU_HUG_BAR_HUG_VAN_SIR,DEPRECATED,AGE-SIR_BAR-SIR_ELK-SIR_ONO-SIR_SIR-TAT_CUP-SIR_FLU-SIR_HUG-SIR_BAR-FLU_FLU-HUG_FLU-VAN_FLU-SIR,DEPRECATED,1,in_to_out,left
