Strip,Node1,Node2
0,COP,WOW
0,WOW,WIG
0,WIG,KEY
0,KEY,FIG
0,FIG,NOR
0,NOR,KIT
0,KIT,ONO
0,ONO,BAR
0,BAR,SIR
0,SIR,FLU
0,FLU,BAR
1,COP,ELK
1,ELK,TAT
1,TAT,ONO
1,ONO,USE
1,USE,NEW
1,NEW,COP
1,COP,USE
1,USE,ELK
1,ELK,SIR
1,SIR,ONO
2,GET,FOR
2,FOR,RUG
2,RUG,ALL
2,ALL,SAD
2,SAD,HIP
2,HIP,GET
2,GET,OAK
2,OAK,FOR
2,FOR,HIP
2,HIP,NEW
2,NEW,GET
2,GET,CAB
3,GET,DAD
3,DAD,FOR
3,FOR,EGG
3,EGG,ALL
3,ALL,PRO
3,PRO,GOO
3,GOO,SAD
3,SAD,WOW
3,WOW,NEW
4,GET,COP
4,COP,TAT
4,TAT,SIR
4,SIR,AGE
4,AGE,KIT
4,KIT,ELK
4,ELK,WIG
4,WIG,USE
4,USE,TAT
5,GET,RUG
5,RUG,SAD
5,SAD,KEY
5,KEY,NOR
5,NOR,WIG
5,WIG,KIT
6,PAW,VAN
6,VAN,BOX
6,BOX,HUG
6,HUG,LID
6,LID,GYM
6,GYM,BOX
6,BOX,EGO
6,EGO,GYM
6,GYM,OAR
6,OAR,ZIG
7,PAW,ZIG
7,ZIG,TAX
7,TAX,WIZ
7,WIZ,GIN
7,GIN,SAY
7,SAY,ZIG
7,ZIG,DAY
7,DAY,SAY
7,SAY,ICE
7,ICE,LAX
7,LAX,ASH
7,ASH,HAM
8,PAW,SAY
8,SAY,WIZ
8,WIZ,ZZZ
8,ZZZ,GIN
8,GIN,ICE
8,ICE,HAM
8,HAM,LAX
8,LAX,MAD
8,MAD,ICE
8,ICE,BED
8,BED,PAW
9,PAW,GYM
9,GYM,HUG
9,HUG,VAN
9,VAN,FLU
9,FLU,HUG
9,HUG,CUP
9,CUP,SIR
9,SIR,HUG
10,CUP,GYM
10,GYM,VAN
10,VAN,CUP
10,CUP,BAR
10,BAR,DOG
10,DOG,AGE
10,AGE,BAR
11,CUP,PAW
11,PAW,DOG
11,DOG,CHI
11,CHI,MAD
11,MAD,BED
11,BED,CHI
11,CHI,KIT
11,KIT,COY
11,COY,MAD
11,MAD,ART
11,ART,KIT
12,SIP,RUM
12,RUM,SHY
12,SHY,BOA
12,BOA,HOW
12,HOW,SHY
12,SHY,INK
12,INK,GUT
12,GUT,RUM
12,RUM,OIL
12,OIL,ALA
13,HEX,MAY
13,MAY,RUM
13,RUM,INK
13,INK,OIL
13,OIL,DRY
13,DRY,REF
13,REF,HOW
14,HEX,SIP
14,SIP,GUT
14,GUT,WAX
14,WAX,MOM
14,MOM,EGO
14,EGO,LID
14,LID,BOX
15,HEX,MIX
15,MIX,AGO
15,AGO,ALA
15,ALA,INK
15,INK,MAY
15,MAY,SIP
15,SIP,WAX
15,WAX,MIX
15,MIX,AIM
15,AIM,LID
15,LID,WAX
16,HEX,WAX
16,WAX,AIM
16,AIM,EGO
16,EGO,OAR
16,OAR,FLY
16,FLY,TAX
16,TAX,AGO
16,AGO,OAR
16,OAR,MIX
16,MIX,MOM
16,MOM,LID
17,HEX,GUT
17,GUT,MIX
17,MIX,ALA
17,ALA,FLY
17,FLY,WIZ
17,WIZ,VOW
17,VOW,FLY
17,FLY,DRY
17,DRY,SHY
18,YAY,TAR
18,TAR,WHY
18,WHY,LUG
18,LUG,TUX
18,TUX,PAY
18,PAY,WIN
18,WIN,BAM
18,BAM,BAH
18,BAH,WIN
18,WIN,HAY
18,HAY,SAW
19,YAY,CAB
19,CAB,OAK
19,OAK,ROB
19,ROB,DAD
19,DAD,EAR
19,EAR,PHI
19,PHI,GEL
19,GEL,MOO
19,MOO,DAD
19,DAD,CAB
19,CAB,ROB
20,YAY,HAY
20,HAY,BAM
20,BAM,YAY
20,YAY,JAR
20,JAR,WIN
20,WIN,ETA
20,ETA,JAR
20,JAR,WHY
20,WHY,KEG
20,KEG,COW
20,COW,ODD
21,YAY,AMP
21,AMP,ROB
21,ROB,SEX
21,SEX,PHI
21,PHI,TAR
21,TAR,WAS
21,WAS,PHI
21,PHI,SAW
21,SAW,SEX
21,SEX,GEL
21,GEL,ROB
22,SEX,CAB
22,CAB,AMP
22,AMP,SAW
22,SAW,WHY
22,WHY,PAY
22,PAY,ETA
22,ETA,LUG
22,LUG,ODD
22,ODD,KEG
22,KEG,WAS
23,SEX,YAY
23,YAY,SAW
23,SAW,JAR
23,JAR,BAM
24,ORC,ASK
24,ASK,TAG
24,TAG,TUB
24,TUB,SKY
24,SKY,DUI
24,DUI,DIG
24,DIG,HIT
24,HIT,SUN
24,SUN,ACE
24,ACE,BRO
25,ORC,BOY
25,BOY,BAH
25,BAH,ETA
25,ETA,CIS
25,CIS,BOY
25,BOY,FOX
25,FOX,SKY
25,SKY,SUN
25,SUN,EYE
25,EYE,POP
25,POP,ACE
26,ORC,TAG
26,TAG,IVY
26,IVY,FOX
26,FOX,TAG
26,TAG,OFF
26,OFF,CIS
26,CIS,BAH
27,ORC,CIS
27,CIS,BAM
27,BAM,ETA
27,ETA,FOX
27,FOX,TUX
27,TUX,GAS
27,GAS,FIX
27,FIX,POP
28,ORC,OFF
28,OFF,GUN
28,GUN,DUI
28,DUI,SUN
28,SUN,IVY
28,IVY,GAS
28,GAS,ODD
28,ODD,AIR
28,AIR,FIX
28,FIX,EYE
28,EYE,GAS
29,NIX,PIE
29,PIE,GAL
29,GAL,WAR
29,WAR,HOW
29,HOW,RUM
29,RUM,PIE
29,PIE,ELF
29,ELF,WAR
30,NIX,WHO
30,WHO,OFF
30,OFF,ASK
30,ASK,GUN
30,GUN,WHO
30,WHO,FRO
30,FRO,RAW
30,RAW,JOY
30,JOY,NOM
30,NOM,BRO
31,NIX,LEG
