Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
AGO,-73.94038531,90.54470979,-24.60431264,DEPRECATED,ALA_TAX_MIX_OAR,AGO-ALA_AGO-TAX_AGO-MIX_AGO-OAR,DEPRECATED,DEPRECATED,0,inner,mid
BOX,-98.03328531,40.72574979,-82.64092264,DEPRECATED,EGO_GYM_VAN_HUG_LID,BOX-EGO_BOX-GYM_BOX-VAN_BOX-HUG_BOX-LID,DEPRECATED,DEPRECATED,1,inner,mid
SIP,-25.01758531,133.6971198,-61.75674664,DEPRECATED,RUM_WAX_GUT_HEX_MAY,RUM-SIP_SIP-WAX_GUT-SIP_HEX-SIP_MAY-SIP,DEPRECATED,DEPRECATED,1,inner,mid
BOY,105.7909147,6.008069785,-62.34431464,DEPRECATED,FOX_CIS_ORC_BAH,BOY-FOX_BOY-CIS_BOY-ORC_BAH-BOY,DEPRECATED,DEPRECATED,0,inner,mid
PAY,101.0349147,-41.31128021,-28.35872264,DEPRECATED,TUX_WHY_ETA_WIN,PAY-TUX_PAY-WHY_ETA-PAY_PAY-WIN,DEPRECATED,DEPRECATED,0,inner,mid
AGE,-87.77638531,-40.48878021,-34.41849264,DEPRECATED,SIR_KIT_DOG_BAR,AGE-SIR_AGE-KIT_AGE-DOG_AGE-BAR,DEPRECATED,DEPRECATED,0,inner,mid
NAN,-52.24238531,19.81194979,44.70067736,DEPRECATED,FAN_DUH_SOY_HAM,FAN-NAN_DUH-NAN_NAN-SOY_HAM-NAN,DEPRECATED,DEPRECATED,0,inner,mid
EON,59.64691469,45.68503979,50.22447736,DEPRECATED,BRO_NIL_YES_TOY_AHI,BRO-EON_EON-NIL_EON-YES_EON-TOY_AHI-EON,DEPRECATED,DEPRECATED,0,inner,mid
MIX,-78.66308531,107.0565198,-52.50296264,DEPRECATED,MOM_AIM_GUT_HEX_ALA_WAX_AGO_OAR,MIX-MOM_AIM-MIX_GUT-MIX_HEX-MIX_ALA-MIX_MIX-WAX_AGO-MIX_MIX-OAR,DEPRECATED,DEPRECATED,0,inner,mid
EGO,-95.49628531,65.58764979,-73.37805264,DEPRECATED,GYM_BOX_LID_MOM_AIM_OAR,EGO-GYM_BOX-EGO_EGO-LID_EGO-MOM_AIM-EGO_EGO-OAR,DEPRECATED,DEPRECATED,0,inner,mid
OAR,-98.90318531,78.10511979,-35.01203264,DEPRECATED,GYM_ZIG_FLY_EGO_AGO_MIX,GYM-OAR_OAR-ZIG_FLY-OAR_EGO-OAR_AGO-OAR_MIX-OAR,DEPRECATED,DEPRECATED,0,inner,mid
BOA,-3.189085311,107.2747198,37.10817736,DEPRECATED,SHY_HOW_WAR_NAY_REF,BOA-SHY_BOA-HOW_BOA-WAR_BOA-NAY_BOA-REF,DEPRECATED,DEPRECATED,0,inner,mid
NAY,-12.74208531,81.87913979,55.20577736,DEPRECATED,BOA_ADO_FUN_REF_JOB_PLY,BOA-NAY_ADO-NAY_FUN-NAY_NAY-REF_JOB-NAY_NAY-PLY,DEPRECATED,DEPRECATED,0,inner,mid
EGG,3.377914689,-143.2638802,26.32480736,DEPRECATED,ALL_FOR_PIG_MOO,ALL-EGG_EGG-FOR_EGG-PIG_EGG-MOO,DEPRECATED,DEPRECATED,0,inner,mid
TAT,-54.99058531,-68.70018021,-67.06360264,DEPRECATED,USE_ELK_SIR_COP_ONO,TAT-USE_ELK-TAT_SIR-TAT_COP-TAT_ONO-TAT,DEPRECATED,DEPRECATED,1,inner,mid
SPY,57.29291469,115.5800198,-34.97468264,DEPRECATED,NIX_OVA_BIO_RAW,NIX-SPY_OVA-SPY_BIO-SPY_RAW-SPY,DEPRECATED,DEPRECATED,0,inner,mid
RAD,44.77791469,125.9956198,-11.34018264,DEPRECATED,ELF_GAL_BIO_OVA,ELF-RAD_GAL-RAD_BIO-RAD_OVA-RAD,DEPRECATED,DEPRECATED,0,inner,mid
COW,59.72391469,-55.89118021,30.46777736,DEPRECATED,ODD_KEG_WAS_AIR_ZOO_FAX,COW-ODD_COW-KEG_COW-WAS_AIR-COW_COW-ZOO_COW-FAX,DEPRECATED,DEPRECATED,0,inner,mid
TAR,67.29491469,-77.22748021,-5.291122644,DEPRECATED,WHY_WAS_PHI_YAY,TAR-WHY_TAR-WAS_PHI-TAR_TAR-YAY,DEPRECATED,DEPRECATED,0,inner,mid
JOY,83.44291469,99.07111979,-25.73498264,DEPRECATED,RAW_BIO_DIG_NOM,JOY-RAW_BIO-JOY_DIG-JOY_JOY-NOM,DEPRECATED,DEPRECATED,0,inner,mid
PRO,-22.35008531,-111.9128802,52.64477736,DEPRECATED,ALL_GOO_HOT_YAK_PIG_ZAP,ALL-PRO_GOO-PRO_HOT-PRO_PRO-YAK_PIG-PRO_PRO-ZAP,DEPRECATED,DEPRECATED,0,inner,mid
PAW,-109.0096853,13.50551979,-30.36475264,DEPRECATED,BED_DOG_ZIG_GYM_VAN_CUP_SAY,BED-PAW_DOG-PAW_PAW-ZIG_GYM-PAW_PAW-VAN_CUP-PAW_PAW-SAY,DEPRECATED,DEPRECATED,0,inner,mid
TAX,-92.00608531,64.78612979,-7.708392644,DEPRECATED,WIZ_ZIG_AGO_FLY,TAX-WIZ_TAX-ZIG_AGO-TAX_FLY-TAX,DEPRECATED,DEPRECATED,0,inner,mid
PIE,18.29291469,126.9045198,-23.74517264,DEPRECATED,NIX_RUM_OVA_ELF_GAL_HOW,NIX-PIE_PIE-RUM_OVA-PIE_ELF-PIE_GAL-PIE_HOW-PIE,DEPRECATED,DEPRECATED,1,inner,mid
PIG,4.566914689,-115.0268802,38.66737736,DEPRECATED,EGG_MOO_PRO_JAM,EGG-PIG_MOO-PIG_PIG-PRO_JAM-PIG,DEPRECATED,DEPRECATED,0,inner,mid
RAW,75.89891469,106.4239198,-54.67726264,DEPRECATED,LEG_WHO_JOY_SPY_FRO,LEG-RAW_RAW-WHO_JOY-RAW_RAW-SPY_FRO-RAW,DEPRECATED,DEPRECATED,0,inner,mid
JOB,5.609914689,67.06567979,64.22097736,DEPRECATED,TOY_NAY_JUG_PLY,JOB-TOY_JOB-NAY_JOB-JUG_JOB-PLY,DEPRECATED,DEPRECATED,0,inner,mid
TAG,99.25791469,30.96896979,-47.87125264,DEPRECATED,OFF_ORC_TUB_FOX_ASK_IVY,OFF-TAG_ORC-TAG_TAG-TUB_FOX-TAG_ASK-TAG_IVY-TAG,DEPRECATED,DEPRECATED,0,inner,mid
DRY,-55.24468531,92.80521979,30.87727736,DEPRECATED,OIL_REF_SHY_FLY_VOW_FUN,DRY-OIL_DRY-REF_DRY-SHY_DRY-FLY_DRY-VOW_DRY-FUN,DEPRECATED,DEPRECATED,0,inner,mid
RIB,3.605914689,-3.717764215,80.88867736,DEPRECATED,FOG_LAW_IRE_JUG,FOG-RIB_LAW-RIB_IRE-RIB_JUG-RIB,DEPRECATED,DEPRECATED,0,inner,mid
VAN,-108.6478853,17.78439979,-65.90712164,DEPRECATED,HUG_CUP_BOX_GYM_PAW_FLU,HUG-VAN_CUP-VAN_BOX-VAN_GYM-VAN_PAW-VAN_FLU-VAN,DEPRECATED,DEPRECATED,0,inner,mid
WIG,-80.66018531,-104.1232802,-14.00430264,DEPRECATED,WOW_USE_KIT_ELK_KEY,WIG-WOW_USE-WIG_KIT-WIG_ELK-WIG_KEY-WIG,DEPRECATED,DEPRECATED,0,inner,mid
EYE,95.25591469,9.086469785,18.46879736,DEPRECATED,FIX_GAS_SUN_POP,EYE-FIX_EYE-GAS_EYE-SUN_EYE-POP,DEPRECATED,DEPRECATED,0,inner,mid
HAM,-72.73478531,1.925039785,49.19047736,DEPRECATED,ASH_ICE_LAX_DUH_NAN_ZZZ,ASH-HAM_HAM-ICE_HAM-LAX_DUH-HAM_HAM-NAN_HAM-ZZZ,DEPRECATED,DEPRECATED,0,inner,mid
LIE,23.13491469,-70.39778021,54.58787736,DEPRECATED,HOT_FAX_EVE_ZOO,HOT-LIE_FAX-LIE_EVE-LIE_LIE-ZOO,DEPRECATED,DEPRECATED,0,inner,mid
CHI,-99.77388531,-39.13078021,-9.506032644,DEPRECATED,MAD_BED_KIT_DOG,CHI-MAD_BED-CHI_CHI-KIT_CHI-DOG,DEPRECATED,DEPRECATED,0,inner,mid
FIX,73.79991469,-9.907870215,25.56523736,DEPRECATED,EYE_AIR_POP_GAS,EYE-FIX_AIR-FIX_FIX-POP_FIX-GAS,DEPRECATED,DEPRECATED,0,inner,mid
JAR,80.67491469,-55.27258021,-40.14162264,DEPRECATED,SAW_ETA_WIN_WHY_BAM_YAY,JAR-SAW_ETA-JAR_JAR-WIN_JAR-WHY_BAM-JAR_JAR-YAY,DEPRECATED,DEPRECATED,0,inner,mid
GIG,45.44991469,-23.53178021,53.55597736,DEPRECATED,AIR_FAX_IRE_EVE,AIR-GIG_FAX-GIG_GIG-IRE_EVE-GIG,DEPRECATED,DEPRECATED,0,inner,mid
HAY,75.18491469,-68.06738021,-60.99695264,DEPRECATED,SAW_WIN_BAM_YAY,HAY-SAW_HAY-WIN_BAM-HAY_HAY-YAY,DEPRECATED,DEPRECATED,1,inner,mid
JAM,29.58691469,-102.4980802,52.18057736,DEPRECATED,MOO_HOT_PIG_ZOO,JAM-MOO_HOT-JAM_JAM-PIG_JAM-ZOO,DEPRECATED,DEPRECATED,0,inner,mid
FIG,-66.68308531,-94.63708021,36.45687736,DEPRECATED,NOR_KEY_YAK_BUG_GOO_ART,FIG-NOR_FIG-KEY_FIG-YAK_BUG-FIG_FIG-GOO_ART-FIG,DEPRECATED,DEPRECATED,0,inner,mid
LID,-71.91598531,57.03345979,-91.59482264,DEPRECATED,HUG_GYM_BOX_EGO_MOM_AIM_WAX,HUG-LID_GYM-LID_BOX-LID_EGO-LID_LID-MOM_AIM-LID_LID-WAX,DEPRECATED,DEPRECATED,1,inner,mid
WET,53.48991469,66.64073979,32.80697736,DEPRECATED,DUB_BRO_TOY_ACE,DUB-WET_BRO-WET_TOY-WET_ACE-WET,DEPRECATED,DEPRECATED,0,inner,mid
GIN,-85.52768531,26.57760979,20.66678736,DEPRECATED,ICE_ZZZ_WIZ,GIN-ICE_GIN-ZZZ_GIN-WIZ,DEPRECATED,DEPRECATED,0,inner,mid
LAM,-46.87548531,-47.55288021,65.35907736,DEPRECATED,LAB_ASH_ACT_TRY,LAB-LAM_ASH-LAM_ACT-LAM_LAM-TRY,DEPRECATED,DEPRECATED,0,inner,mid
PHI,70.71091469,-102.8541802,8.053687356,DEPRECATED,SEX_WAS_SAW_EAR_GEL_TAR,PHI-SEX_PHI-WAS_PHI-SAW_EAR-PHI_GEL-PHI_PHI-TAR,DEPRECATED,DEPRECATED,0,inner,mid
OIL,-54.62288531,95.41231979,2.523727356,DEPRECATED,DRY_INK_RUM,DRY-OIL_INK-OIL_OIL-RUM,DEPRECATED,DEPRECATED,0,inner,mid
NIL,23.62591469,49.65308979,55.14827736,DEPRECATED,TOY_EON_AHI_JUG,NIL-TOY_EON-NIL_AHI-NIL_JUG-NIL,DEPRECATED,DEPRECATED,0,inner,mid
ELF,42.03791469,100.9080198,6.134797356,DEPRECATED,BIO_RAD_GAL_DUB_PIE_WAR,BIO-ELF_ELF-RAD_ELF-GAL_DUB-ELF_ELF-PIE_ELF-WAR,DEPRECATED,DEPRECATED,0,inner,mid
AHI,35.92691469,28.30206979,67.00847736,DEPRECATED,JUG_IRE_EON_NIL,AHI-JUG_AHI-IRE_AHI-EON_AHI-NIL,DEPRECATED,DEPRECATED,0,inner,mid
LAB,-37.47038531,-69.66668021,65.73047736,DEPRECATED,ZAP_TAU_LAM_YAK_OLD_BUG,LAB-ZAP_LAB-TAU_LAB-LAM_LAB-YAK_LAB-OLD_BUG-LAB,DEPRECATED,DEPRECATED,0,inner,mid
KIT,-90.93338531,-69.64768021,-13.01105264,DEPRECATED,ONO_AGE_ELK_WIG_NOR_ART_CHI,KIT-ONO_AGE-KIT_ELK-KIT_KIT-WIG_KIT-NOR_ART-KIT_CHI-KIT,DEPRECATED,DEPRECATED,0,inner,mid
MAY,-38.12798531,137.5014198,-38.92368264,DEPRECATED,INK_RUM_HEX_SIP,INK-MAY_MAY-RUM_HEX-MAY_MAY-SIP,DEPRECATED,DEPRECATED,0,inner,mid
MAC,66.58791469,-4.202273215,51.82737736,DEPRECATED,IRE_AIR_YES_POP,IRE-MAC_AIR-MAC_MAC-YES_MAC-POP,DEPRECATED,DEPRECATED,0,inner,mid
OVA,36.94091469,139.4845198,-38.20640264,DEPRECATED,SPY_LEG_NIX_PIE_RAD,OVA-SPY_LEG-OVA_NIX-OVA_OVA-PIE_OVA-RAD,DEPRECATED,DEPRECATED,0,inner,mid
LAX,-74.61178531,-18.08536021,30.75307736,DEPRECATED,ICE_ASH_MAD_HAM,ICE-LAX_ASH-LAX_LAX-MAD_HAM-LAX,DEPRECATED,DEPRECATED,0,inner,mid
MAD,-94.92168531,-30.39728021,17.08255736,DEPRECATED,BED_CHI_ICE_LAX_ART,BED-MAD_CHI-MAD_ICE-MAD_LAX-MAD_ART-MAD,DEPRECATED,DEPRECATED,0,inner,mid
WIN,94.15991469,-42.91568021,-59.32118264,DEPRECATED,HAY_BAH_PAY_JAR_BAM_ETA,HAY-WIN_BAH-WIN_PAY-WIN_JAR-WIN_BAM-WIN_ETA-WIN,DEPRECATED,DEPRECATED,0,inner,mid
YES,51.32191469,19.80852979,44.33137736,DEPRECATED,EON_MAC_IRE_POP,EON-YES_MAC-YES_IRE-YES_POP-YES,DEPRECATED,DEPRECATED,0,inner,mid
LAW,12.92391469,-28.95138021,67.68987736,DEPRECATED,FOG_EVE_RIB_IRE,FOG-LAW_EVE-LAW_LAW-RIB_IRE-LAW,DEPRECATED,DEPRECATED,0,inner,mid
ZAP,-19.94078531,-85.42058021,53.95747736,DEPRECATED,PRO_LAB_OLD_GOO,PRO-ZAP_LAB-ZAP_OLD-ZAP_GOO-ZAP,DEPRECATED,DEPRECATED,0,inner,mid
FLY,-80.93358531,87.71725979,5.316157356,DEPRECATED,DRY_WIZ_TAX_OAR_ALA_VOW,DRY-FLY_FLY-WIZ_FLY-TAX_FLY-OAR_ALA-FLY_FLY-VOW,DEPRECATED,DEPRECATED,0,inner,mid
RUM,-18.97518531,126.5552198,-21.69788264,DEPRECATED,GUT_INK_OIL_SIP_MAY_SHY_PIE_HOW,GUT-RUM_INK-RUM_OIL-RUM_RUM-SIP_MAY-RUM_RUM-SHY_PIE-RUM_HOW-RUM,DEPRECATED,DEPRECATED,1,inner,mid
LUG,86.15891469,-36.61328021,-2.943552644,DEPRECATED,ODD_TUX_WHY_ETA,LUG-ODD_LUG-TUX_LUG-WHY_ETA-LUG,DEPRECATED,DEPRECATED,0,inner,mid
FLU,-102.6167853,-11.68779021,-73.81925264,DEPRECATED,BAR_SIR_HUG_VAN,BAR-FLU_FLU-SIR_FLU-HUG_FLU-VAN,DEPRECATED,DEPRECATED,1,inner,mid
EVE,33.60991469,-43.37418021,71.54727736,DEPRECATED,IRE_OLD_LIE_LAW_FAX_GIG,EVE-IRE_EVE-OLD_EVE-LIE_EVE-LAW_EVE-FAX_EVE-GIG,DEPRECATED,DEPRECATED,0,inner,mid
BED,-93.15698531,-11.31605021,-4.540852644,DEPRECATED,ICE_MAD_CHI_PAW,BED-ICE_BED-MAD_BED-CHI_BED-PAW,DEPRECATED,DEPRECATED,0,inner,mid
GUT,-55.16688531,116.1870198,-42.02805264,DEPRECATED,INK_RUM_WAX_MIX_HEX_SIP,GUT-INK_GUT-RUM_GUT-WAX_GUT-MIX_GUT-HEX_GUT-SIP,DEPRECATED,DEPRECATED,0,inner,mid
FUN,-40.59428531,73.88971979,51.64937736,DEPRECATED,FAN_DRY_PLY_NAY,FAN-FUN_DRY-FUN_FUN-PLY_FUN-NAY,DEPRECATED,DEPRECATED,0,inner,mid
HUG,-89.11618531,12.85181979,-83.33752264,DEPRECATED,VAN_SIR_LID_BOX_FLU_CUP_GYM,HUG-VAN_HUG-SIR_HUG-LID_BOX-HUG_FLU-HUG_CUP-HUG_GYM-HUG,DEPRECATED,DEPRECATED,1,inner,mid
SIR,-82.40258531,-38.02238021,-75.01906264,DEPRECATED,ONO_BAR_ELK_TAT_FLU_AGE_HUG_CUP,ONO-SIR_BAR-SIR_ELK-SIR_SIR-TAT_FLU-SIR_AGE-SIR_HUG-SIR_CUP-SIR,DEPRECATED,DEPRECATED,1,inner,mid
JUG,-0.970085311,33.11274979,74.11927736,DEPRECATED,MOP_AHI_RIB_PLY_NIL_JOB_ERA_SOY,JUG-MOP_AHI-JUG_JUG-RIB_JUG-PLY_JUG-NIL_JOB-JUG_ERA-JUG_JUG-SOY,DEPRECATED,DEPRECATED,0,inner,mid
GET,-12.52008531,-135.3728802,-31.72499264,DEPRECATED,DAD_HIP_RUG_OAK_FOR_COP_CAB_NEW,DAD-GET_GET-HIP_GET-RUG_GET-OAK_FOR-GET_COP-GET_CAB-GET_GET-NEW,DEPRECATED,DEPRECATED,1,inner,mid
ROB,40.37691469,-136.2068802,-20.53644264,DEPRECATED,CAB_SEX_AMP_OAK_DAD_GEL,CAB-ROB_ROB-SEX_AMP-ROB_OAK-ROB_DAD-ROB_GEL-ROB,DEPRECATED,DEPRECATED,0,inner,mid
NIX,19.00191469,137.3543198,-64.84222564,DEPRECATED,SPY_LEG_PIE_WHO_OVA,NIX-SPY_LEG-NIX_NIX-PIE_NIX-WHO_NIX-OVA,DEPRECATED,DEPRECATED,1,inner,mid
AMP,50.61791469,-112.2998802,-40.87118264,DEPRECATED,CAB_ROB_YAY_SAW,AMP-CAB_AMP-ROB_AMP-YAY_AMP-SAW,DEPRECATED,DEPRECATED,1,inner,mid
BUG,-56.02888531,-64.87048021,41.49267736,DEPRECATED,FIG_ACT_LAB_ASH,BUG-FIG_ACT-BUG_BUG-LAB_ASH-BUG,DEPRECATED,DEPRECATED,0,inner,mid
GEL,51.99691469,-129.2448802,11.94735736,DEPRECATED,SEX_MOO_ROB_PHI,GEL-SEX_GEL-MOO_GEL-ROB_GEL-PHI,DEPRECATED,DEPRECATED,0,inner,mid
FOR,-3.312085311,-153.0888802,-7.293152644,DEPRECATED,DAD_HIP_OAK_GET_RUG_EGG,DAD-FOR_FOR-HIP_FOR-OAK_FOR-GET_FOR-RUG_EGG-FOR,DEPRECATED,DEPRECATED,0,inner,mid
TAU,-19.07338531,-48.42398021,64.42357736,DEPRECATED,LAB_OLD_FOG_TRY,LAB-TAU_OLD-TAU_FOG-TAU_TAU-TRY,DEPRECATED,DEPRECATED,0,inner,mid
SHY,-27.20728531,119.2605198,12.98205736,DEPRECATED,HOW_INK_DRY_RUM_BOA,HOW-SHY_INK-SHY_DRY-SHY_RUM-SHY_BOA-SHY,DEPRECATED,DEPRECATED,0,inner,mid
WOW,-57.83488531,-126.2468802,-12.31965264,DEPRECATED,COP_WIG_SAD_NEW,COP-WOW_WIG-WOW_SAD-WOW_NEW-WOW,DEPRECATED,DEPRECATED,0,inner,mid
FOX,110.1719147,6.915579785,-32.42415264,DEPRECATED,IVY_TUX_BOY_SKY_TAG_ETA,FOX-IVY_FOX-TUX_BOY-FOX_FOX-SKY_FOX-TAG_ETA-FOX,DEPRECATED,DEPRECATED,0,inner,mid
