Strip,Node1,Node2
0,TAT,USE
0,USE,ONO
0,ONO,SIR
0,SIR,BAR
1,TAT,ELK
1,ELK,SIR
1,SIR,TAT
2,TAT,COP
2,COP,WOW
2,WOW,WIG
2,WIG,USE
3,ONO,BAR
3,BAR,FLU
3,FLU,SIR
3,SIR,AGE
4,TAT,ONO
5,ONO,KIT
5,KIT,AGE
6,FOR,DAD
6,DAD,GET
6,GET,HIP
6,HIP,NEW
7,FOR,HIP
7,HIP,SAD
7,SAD,RUG
7,RUG,GET
8,FOR,OAK
8,OAK,GET
8,GET,FOR
8,FOR,RUG
8,RUG,ALL
9,COP,USE
9,USE,NEW
9,NEW,COP
9,COP,ELK
9,ELK,KIT
10,COP,GET
10,GET,CAB
11,ALL,SAD
11,SAD,WOW
11,WOW,NEW
11,NEW,GET
12,ALL,PRO
12,PRO,GOO
12,GOO,SAD
12,SAD,KEY
12,KEY,NOR
13,ALL,EGG
13,EGG,FOR
14,WIG,KIT
14,KIT,NOR
14,NOR,FIG
14,FIG,KEY
15,WIG,ELK
15,ELK,USE
16,WIG,KEY
17,ICE,GIN
17,GIN,ZZZ
17,ZZZ,WIZ
17,WIZ,SAY
18,ICE,LAX
18,LAX,ASH
18,ASH,HAM
18,HAM,ICE
19,ICE,BED
19,BED,MAD
19,MAD,CHI
19,CHI,BED
19,BED,PAW
20,HUG,VAN
20,VAN,CUP
20,CUP,BAR
20,BAR,DOG
20,DOG,PAW
21,HUG,SIR
21,SIR,CUP
21,CUP,GYM
22,HUG,LID
22,LID,GYM
22,GYM,EGO
22,EGO,BOX
23,BOX,GYM
23,GYM,OAR
23,OAR,ZIG
23,ZIG,PAW
24,BOX,VAN
24,VAN,GYM
24,GYM,PAW
24,PAW,VAN
25,BOX,HUG
25,HUG,FLU
25,FLU,VAN
26,GIN,WIZ
26,WIZ,TAX
26,TAX,ZIG
26,ZIG,SAY
27,PAW,CUP
27,CUP,HUG
27,HUG,GYM
28,PAW,SAY
28,SAY,ICE
28,ICE,MAD
28,MAD,LAX
28,LAX,HAM
29,ART,KIT
29,KIT,CHI
29,CHI,DOG
29,DOG,AGE
29,AGE,BAR
30,ART,MAD
31,OIL,DRY
31,DRY,REF
31,REF,HOW
31,HOW,SHY
32,OIL,INK
32,INK,GUT
32,GUT,RUM
32,RUM,INK
33,OIL,RUM
33,RUM,SIP
33,SIP,WAX
34,BOX,LID
34,LID,EGO
34,EGO,MOM
34,MOM,WAX
35,LID,MOM
35,MOM,MIX
35,MIX,AIM
35,AIM,LID
36,LID,WAX
36,WAX,GUT
36,GUT,MIX
37,INK,SHY
37,SHY,DRY
37,DRY,FLY
37,FLY,WIZ
38,INK,MAY
38,MAY,RUM
38,RUM,SHY
38,SHY,BOA
38,BOA,HOW
39,INK,ALA
39,ALA,AGO
39,AGO,TAX
39,TAX,FLY
39,FLY,OAR
40,HEX,GUT
40,GUT,SIP
40,SIP,HEX
40,HEX,MAY
40,MAY,SIP
41,HEX,MIX
41,MIX,ALA
41,ALA,FLY
41,FLY,VOW
42,HEX,WAX
42,WAX,AIM
42,AIM,EGO
42,EGO,OAR
43,WAX,MIX
43,MIX,AGO
43,AGO,OAR
43,OAR,MIX
44,CAB,YAY
44,YAY,SEX
44,SEX,PHI
44,PHI,WAS
45,CAB,ROB
45,ROB,SEX
45,SEX,GEL
45,GEL,MOO
45,MOO,DAD
46,CAB,AMP
46,AMP,ROB
46,ROB,OAK
46,OAK,CAB
47,AMP,YAY
47,YAY,SAW
47,SAW,HAY
47,HAY,WIN
47,WIN,BAH
48,AMP,SAW
48,SAW,PHI
48,PHI,EAR
49,LUG,ODD
49,ODD,COW
49,COW,KEG
49,KEG,ODD
50,LUG,TUX
50,TUX,PAY
50,PAY,WHY
50,WHY,TAR
50,TAR,WAS
51,LUG,WHY
51,WHY,SAW
51,SAW,JAR
51,JAR,ETA
52,PAY,ETA
52,ETA,LUG
53,PAY,WIN
53,WIN,JAR
53,JAR,WHY
53,WHY,KEG
53,KEG,WAS
54,DAD,ROB
54,ROB,GEL
54,GEL,PHI
54,PHI,TAR
55,DAD,CAB
55,CAB,SEX
55,SEX,SAW
56,DAD,EAR
57,BAM,JAR
57,JAR,YAY
57,YAY,TAR
58,BAM,WIN
58,WIN,ETA
59,BAM,HAY
59,HAY,YAY
59,YAY,BAM
59,BAM,BAH
60,EYE,FIX
60,FIX,AIR
60,AIR,ODD
60,ODD,GAS
60,GAS,EYE
61,EYE,SUN
61,SUN,HIT
61,HIT,DIG
61,DIG,DUI
61,DUI,SUN
62,EYE,POP
62,POP,FIX
62,FIX,GAS
62,GAS,IVY
62,IVY,FOX
63,FOX,TUX
63,TUX,GAS
64,FOX,BOY
64,BOY,CIS
64,CIS,ORC
64,ORC,OFF
65,FOX,SKY
65,SKY,SUN
65,SUN,ACE
65,ACE,POP
66,OFF,TAG
66,TAG,ORC
66,ORC,BOY
66,BOY,BAH
67,OFF,CIS
67,CIS,BAH
67,BAH,ETA
68,OFF,GUN
68,GUN,DUI
68,DUI,SKY
68,SKY,TUB
69,CIS,ETA
69,ETA,BAM
69,BAM,CIS
70,TUB,TAG
70,TAG,FOX
70,FOX,ETA
71,ASK,TAG
71,TAG,IVY
71,IVY,SUN
72,ASK,ORC
73,NIX,SPY
73,SPY,OVA
73,OVA,LEG
73,LEG,RAW
74,NIX,LEG
74,LEG,WHO
74,WHO,RAW
74,RAW,JOY
74,JOY,BIO
75,NIX,PIE
75,PIE,RUM
75,RUM,HOW
76,WHO,NIX
76,NIX,OVA
76,OVA,PIE
77,WHO,FRO
77,FRO,ASK
77,ASK,OFF
77,OFF,WHO
78,WHO,GUN
78,GUN,DIG
78,DIG,JOY
78,JOY,NOM
79,BIO,SPY
79,SPY,RAW
79,RAW,FRO
80,BIO,ELF
80,ELF,RAD
80,RAD,GAL
80,GAL,ELF
80,ELF,DUB
81,BIO,RAD
81,RAD,OVA
82,BRO,ARM
82,ARM,DUB
83,BRO,HIT
83,HIT,NOM
83,NOM,BIO
83,BIO,ARM
83,ARM,NOM
84,BRO,NOM
84,NOM,DIG
84,DIG,TUB
84,TUB,ASK
84,ASK,GUN
85,PIE,ELF
85,ELF,WAR
85,WAR,GAL
85,GAL,PIE
86,PIE,HOW
86,HOW,WAR
87,EGG,PIG
87,PIG,MOO
87,MOO,EAR
87,EAR,ZOO
87,ZOO,FAX
88,EGG,MOO
88,MOO,JAM
88,JAM,HOT
88,HOT,PRO
88,PRO,YAK
89,PIG,PRO
89,PRO,ZAP
89,ZAP,LAB
89,LAB,TAU
89,TAU,OLD
90,PIG,JAM
90,JAM,ZOO
90,ZOO,WAS
90,WAS,COW
90,COW,AIR
91,LAM,LAB
91,LAB,YAK
91,YAK,FIG
91,FIG,BUG
91,BUG,ACT
92,LAM,ASH
92,ASH,ACT
92,ACT,LAM
92,LAM,TRY
92,TRY,DUH
93,OLD,ZAP
93,ZAP,GOO
93,GOO,FIG
93,FIG,ART
94,OLD,LAB
94,LAB,BUG
94,BUG,ASH
94,ASH,ART
95,OLD,FOG
95,FOG,TAU
95,TAU,TRY
95,TRY,FOG
96,EVE,IRE
96,IRE,MAC
96,MAC,AIR
96,AIR,GIG
97,EVE,OLD
97,OLD,HOT
97,HOT,LIE
97,LIE,FAX
98,EVE,LIE
98,LIE,ZOO
98,ZOO,COW
98,COW,FAX
98,FAX,GIG
99,FOG,LAW
99,LAW,EVE
99,EVE,FAX
99,FAX,AIR
100,FOG,RIB
100,RIB,LAW
100,LAW,IRE
100,IRE,GIG
100,GIG,EVE
101,FOG,SOY
102,TOY,ADO
102,ADO,DUB
102,DUB,WET
102,WET,BRO
102,BRO,EON
103,TOY,DUB
103,DUB,WAR
103,WAR,BOA
103,BOA,NAY
103,NAY,ADO
104,TOY,NIL
104,NIL,EON
104,EON,YES
104,YES,MAC
104,MAC,POP
105,FUN,FAN
105,FAN,VOW
105,VOW,DRY
105,DRY,FUN
105,FUN,PLY
106,FUN,NAY
106,NAY,REF
106,REF,BOA
107,JUG,MOP
107,MOP,FAN
107,FAN,NAN
107,NAN,DUH
107,DUH,HAM
108,JUG,AHI
108,AHI,IRE
108,IRE,RIB
108,RIB,JUG
109,JUG,PLY
109,PLY,MOP
109,MOP,DUH
109,DUH,SOY
110,TOY,WET
110,WET,ACE
111,TOY,EON
111,EON,AHI
111,AHI,NIL
111,NIL,JUG
112,TOY,JOB
112,JOB,NAY
112,NAY,PLY
112,PLY,FAN
112,FAN,ZZZ
113,JUG,JOB
113,JOB,PLY
114,JUG,ERA
114,ERA,IRE
114,IRE,YES
114,YES,POP
115,JUG,SOY
115,SOY,NAN
115,NAN,HAM
115,HAM,ZZZ
