Strip,Node1,Node2
0,TAT,USE
0,USE,ONO
0,ONO,SIR
0,SIR,BAR
1,TAT,ELK
1,ELK,SIR
1,SIR,TAT
2,TAT,COP
2,COP,WOW
2,WOW,WIG
2,WIG,USE
3,ONO,BAR
3,BAR,FLU
3,FLU,SIR
3,SIR,AGE
4,TAT,ONO
5,ONO,KIT
5,KIT,AGE
6,FOR,DAD
6,DAD,GET
6,GET,HIP
6,HIP,NEW
7,FOR,HIP
7,HIP,SAD
7,SAD,RUG
7,RUG,GET
8,FOR,OAK
8,OAK,GET
8,GET,FOR
8,FOR,RUG
8,RUG,ALL
9,COP,USE
9,USE,NEW
9,NEW,COP
9,COP,ELK
9,ELK,KIT
10,COP,GET
10,GET,CAB
12,ALL,SAD
12,SAD,WOW
12,WOW,NEW
12,NEW,GET
13,ALL,PRO
13,PRO,GOO
13,GOO,SAD
13,SAD,KEY
13,KEY,NOR
14,ALL,EGG
14,EGG,FOR
15,WIG,KIT
15,KIT,NOR
15,NOR,FIG
15,FIG,KEY
16,WIG,ELK
16,ELK,USE
17,WIG,KEY
18,ICE,GIN
18,GIN,ZZZ
18,ZZZ,WIZ
18,WIZ,SAY
19,ICE,LAX
19,LAX,ASH
19,ASH,HAM
19,HAM,ICE
20,ICE,BED
20,BED,MAD
20,MAD,CHI
20,CHI,BED
20,BED,PAW
21,HUG,VAN
21,VAN,CUP
21,CUP,BAR
21,BAR,DOG
21,DOG,PAW
22,HUG,SIR
22,SIR,CUP
22,CUP,GYM
23,HUG,LID
23,LID,GYM
23,GYM,EGO
23,EGO,BOX
24,BOX,GYM
24,GYM,OAR
24,OAR,ZIG
24,ZIG,PAW
25,BOX,VAN
25,VAN,GYM
25,GYM,PAW
25,PAW,VAN
26,BOX,HUG
26,HUG,FLU
26,FLU,VAN
27,GIN,WIZ
27,WIZ,TAX
27,TAX,ZIG
27,ZIG,SAY
30,PAW,CUP
30,CUP,HUG
30,HUG,GYM
31,PAW,SAY
31,SAY,ICE
31,ICE,MAD
31,MAD,LAX
31,LAX,HAM
33,ART,KIT
33,KIT,CHI
33,CHI,DOG
33,DOG,AGE
33,AGE,BAR
34,ART,MAD
36,OIL,DRY
36,DRY,REF
36,REF,HOW
36,HOW,SHY
37,OIL,INK
37,INK,GUT
37,GUT,RUM
37,RUM,INK
38,OIL,RUM
38,RUM,SIP
38,SIP,WAX
39,BOX,LID
39,LID,EGO
39,EGO,MOM
39,MOM,WAX
42,LID,MOM
42,MOM,MIX
42,MIX,AIM
42,AIM,LID
43,LID,WAX
43,WAX,GUT
43,GUT,MIX
45,INK,SHY
45,SHY,DRY
45,DRY,FLY
45,FLY,WIZ
46,INK,MAY
46,MAY,RUM
46,RUM,SHY
46,SHY,BOA
46,BOA,HOW
47,INK,ALA
47,ALA,AGO
47,AGO,TAX
47,TAX,FLY
47,FLY,OAR
48,HEX,GUT
48,GUT,SIP
48,SIP,HEX
48,HEX,MAY
48,MAY,SIP
49,HEX,MIX
49,MIX,ALA
49,ALA,FLY
49,FLY,VOW
50,HEX,WAX
50,WAX,AIM
50,AIM,EGO
50,EGO,OAR
51,WAX,MIX
51,MIX,AGO
51,AGO,OAR
51,OAR,MIX
54,CAB,YAY
54,YAY,SEX
54,SEX,PHI
54,PHI,WAS
55,CAB,ROB
55,ROB,SEX
55,SEX,GEL
55,GEL,MOO
55,MOO,DAD
56,CAB,AMP
56,AMP,ROB
56,ROB,OAK
56,OAK,CAB
57,AMP,YAY
57,YAY,SAW
57,SAW,HAY
57,HAY,WIN
57,WIN,BAH
58,AMP,SAW
58,SAW,PHI
58,PHI,EAR
60,LUG,ODD
60,ODD,COW
60,COW,KEG
60,KEG,ODD
61,LUG,TUX
61,TUX,PAY
61,PAY,WHY
61,WHY,TAR
61,TAR,WAS
62,LUG,WHY
62,WHY,SAW
62,SAW,JAR
62,JAR,ETA
63,PAY,ETA
63,ETA,LUG
64,PAY,WIN
64,WIN,JAR
64,JAR,WHY
64,WHY,KEG
64,KEG,WAS
66,DAD,ROB
66,ROB,GEL
66,GEL,PHI
66,PHI,TAR
67,DAD,CAB
67,CAB,SEX
67,SEX,SAW
68,DAD,EAR
69,BAM,JAR
69,JAR,YAY
69,YAY,TAR
70,BAM,WIN
70,WIN,ETA
71,BAM,HAY
71,HAY,YAY
71,YAY,BAM
71,BAM,BAH
72,EYE,FIX
72,FIX,AIR
72,AIR,ODD
72,ODD,GAS
72,GAS,EYE
73,EYE,SUN
73,SUN,HIT
73,HIT,DIG
73,DIG,DUI
73,DUI,SUN
74,EYE,POP
74,POP,FIX
74,FIX,GAS
74,GAS,IVY
74,IVY,FOX
75,FOX,TUX
75,TUX,GAS
76,FOX,BOY
76,BOY,CIS
76,CIS,ORC
76,ORC,OFF
77,FOX,SKY
77,SKY,SUN
77,SUN,ACE
77,ACE,POP
78,OFF,TAG
78,TAG,ORC
78,ORC,BOY
78,BOY,BAH
79,OFF,CIS
79,CIS,BAH
79,BAH,ETA
80,OFF,GUN
80,GUN,DUI
80,DUI,SKY
80,SKY,TUB
81,CIS,ETA
81,ETA,BAM
81,BAM,CIS
84,TUB,TAG
84,TAG,FOX
84,FOX,ETA
87,ASK,TAG
87,TAG,IVY
87,IVY,SUN
88,ASK,ORC
90,NIX,SPY
90,SPY,OVA
90,OVA,LEG
90,LEG,RAW
91,NIX,LEG
91,LEG,WHO
91,WHO,RAW
91,RAW,JOY
91,JOY,BIO
92,NIX,PIE
92,PIE,RUM
92,RUM,HOW
93,WHO,NIX
93,NIX,OVA
93,OVA,PIE
94,WHO,FRO
94,FRO,ASK
94,ASK,OFF
94,OFF,WHO
95,WHO,GUN
95,GUN,DIG
95,DIG,JOY
95,JOY,NOM
96,BIO,SPY
96,SPY,RAW
96,RAW,FRO
97,BIO,ELF
97,ELF,RAD
97,RAD,GAL
97,GAL,ELF
97,ELF,DUB
98,BIO,RAD
98,RAD,OVA
99,BRO,ARM
99,ARM,DUB
100,BRO,HIT
100,HIT,NOM
100,NOM,BIO
100,BIO,ARM
100,ARM,NOM
101,BRO,NOM
101,NOM,DIG
101,DIG,TUB
101,TUB,ASK
101,ASK,GUN
102,PIE,ELF
102,ELF,WAR
102,WAR,GAL
102,GAL,PIE
103,PIE,HOW
103,HOW,WAR
108,EGG,PIG
108,PIG,MOO
108,MOO,EAR
108,EAR,ZOO
108,ZOO,FAX
109,EGG,MOO
109,MOO,JAM
109,JAM,HOT
109,HOT,PRO
109,PRO,YAK
111,PIG,PRO
111,PRO,ZAP
111,ZAP,LAB
111,LAB,TAU
111,TAU,OLD
112,PIG,JAM
112,JAM,ZOO
112,ZOO,WAS
112,WAS,COW
112,COW,AIR
114,LAM,LAB
114,LAB,YAK
114,YAK,FIG
114,FIG,BUG
114,BUG,ACT
115,LAM,ASH
115,ASH,ACT
115,ACT,LAM
115,LAM,TRY
115,TRY,DUH
117,OLD,ZAP
117,ZAP,GOO
117,GOO,FIG
117,FIG,ART
118,OLD,LAB
118,LAB,BUG
118,BUG,ASH
118,ASH,ART
119,OLD,FOG
119,FOG,TAU
119,TAU,TRY
119,TRY,FOG
120,EVE,IRE
120,IRE,MAC
120,MAC,AIR
120,AIR,GIG
121,EVE,OLD
121,OLD,HOT
121,HOT,LIE
121,LIE,FAX
122,EVE,LIE
122,LIE,ZOO
122,ZOO,COW
122,COW,FAX
122,FAX,GIG
123,FOG,LAW
123,LAW,EVE
123,EVE,FAX
123,FAX,AIR
124,FOG,RIB
124,RIB,LAW
124,LAW,IRE
124,IRE,GIG
124,GIG,EVE
125,FOG,SOY
126,TOY,ADO
126,ADO,DUB
126,DUB,WET
126,WET,BRO
126,BRO,EON
127,TOY,DUB
127,DUB,WAR
127,WAR,BOA
127,BOA,NAY
127,NAY,ADO
128,TOY,NIL
128,NIL,EON
128,EON,YES
128,YES,MAC
128,MAC,POP
129,FUN,FAN
129,FAN,VOW
129,VOW,DRY
129,DRY,FUN
129,FUN,PLY
130,FUN,NAY
130,NAY,REF
130,REF,BOA
132,JUG,MOP
132,MOP,FAN
132,FAN,NAN
132,NAN,DUH
132,DUH,HAM
133,JUG,AHI
133,AHI,IRE
133,IRE,RIB
133,RIB,JUG
134,JUG,PLY
134,PLY,MOP
134,MOP,DUH
134,DUH,SOY
135,TOY,WET
135,WET,ACE
136,TOY,EON
136,EON,AHI
136,AHI,NIL
136,NIL,JUG
137,TOY,JOB
137,JOB,NAY
137,NAY,PLY
137,PLY,FAN
137,FAN,ZZZ
138,JUG,JOB
138,JOB,PLY
139,JUG,ERA
139,ERA,IRE
139,IRE,YES
139,YES,POP
140,JUG,SOY
140,SOY,NAN
140,NAN,HAM
140,HAM,ZZZ
