Pixel_i,Module,Node1,Node2,X,Y,Z
1,11,AIR,COW,467.45285937233865,-33.47739040970362,121.19950458153995
2,11,AIR,COW,467.2299797446773,-33.99039881940723,120.8564251630799
3,11,AIR,COW,467.0071001170159,-34.50340722911085,120.51334574461985
4,11,AIR,COW,466.78422048935454,-35.016415638814465,120.1702663261598
5,11,AIR,COW,466.56134086169317,-35.52942404851808,119.82718690769975
6,11,AIR,COW,466.3384612340318,-36.0424324582217,119.4841074892397
7,11,AIR,COW,466.1155816063704,-36.55544086792531,119.14102807077965
8,11,AIR,COW,465.89270197870906,-37.06844927762893,118.7979486523196
9,11,AIR,COW,465.6698223510477,-37.581457687332545,118.45486923385955
10,11,AIR,COW,465.4469427233863,-38.09446609703616,118.1117898153995
11,11,AIR,COW,465.22406309572494,-38.60747450673978,117.76871039693945
12,11,AIR,COW,465.0011834680636,-39.12048291644339,117.4256309784794
13,11,AIR,COW,464.7783038404022,-39.63349132614701,117.08255156001935
14,11,AIR,COW,464.55542421274083,-40.146499735850625,116.7394721415593
15,11,AIR,COW,464.33254458507946,-40.65950814555424,116.39639272309925
16,11,AIR,COW,464.1096649574181,-41.17251655525786,116.0533133046392
17,11,AIR,COW,463.8867853297567,-41.68552496496147,115.71023388617915
18,11,AIR,COW,463.66390570209535,-42.19853337466509,115.3671544677191
19,11,AIR,COW,463.441026074434,-42.711541784368706,115.02407504925905
20,11,AIR,COW,463.2181464467726,-43.22455019407232,114.680995630799
21,11,AIR,COW,462.99526681911124,-43.73755860377594,114.33791621233895
22,11,AIR,COW,462.77238719144987,-44.250567013479554,113.9948367938789
23,11,AIR,COW,462.5495075637885,-44.76357542318317,113.65175737541885
24,11,AIR,COW,462.3266279361271,-45.276583832886786,113.3086779569588
25,11,AIR,COW,462.10374830846575,-45.7895922425904,112.96559853849875
26,11,AIR,COW,461.8808686808044,-46.30260065229402,112.6225191200387
27,11,AIR,COW,461.657989053143,-46.815609061997634,112.27943970157865
28,11,AIR,COW,461.43510942548164,-47.32861747170125,111.9363602831186
29,11,AIR,COW,461.21222979782027,-47.841625881404866,111.59328086465855
30,11,AIR,COW,460.9893501701589,-48.35463429110848,111.2502014461985
31,11,AIR,COW,460.76647054249753,-48.8676427008121,110.90712202773845
32,11,AIR,COW,460.54359091483616,-49.380651110515714,110.5640426092784
33,11,AIR,COW,460.3207112871748,-49.89365952021933,110.22096319081835
